L3(도메인),[AS-IS] L5 Name,[AS-IS] L6 Name,Activity_ID,[TO-BE] L5 Name,[TO-BE] L6 Name,Cadence,Output Type,Change_Type,Change_Note
교육,Pilot과정 운영,Pilot과정 운영 요청 접수 로그 생성,V2-L6-0885,Pilot과정 운영,Pilot과정  기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,Pilot과정 운영,Pilot과정 운영 운영계획서 확정,V2-L6-0886,Pilot과정 운영,중간 Pilot과정  결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,Pilot과정 운영,Pilot과정 운영 수료 발행,V2-L6-0887,Pilot과정 운영,중간 Pilot과정  결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,Pilot과정 운영,성과 리포트 발행,V2-L6-0888,Pilot과정 운영,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,커리큘럼 기획,커리큘럼 기획 요청 접수 로그 생성,V2-L6-0869,커리큘럼 기획,커리큘럼 기획 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,커리큘럼 기획,커리큘럼 기획 운영계획서 확정,V2-L6-0870,커리큘럼 기획,중간 커리큘럼 기획 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,커리큘럼 기획,커리큘럼 기획 수료 발행,V2-L6-0871,커리큘럼 기획,중간 커리큘럼 기획 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,커리큘럼 기획,성과 리포트 발행,V2-L6-0872,커리큘럼 기획,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,커리큘럼 확정,커리큘럼 확정 요청 접수 로그 생성,V2-L6-0873,커리큘럼 확정,커리큘럼 확정 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,커리큘럼 확정,커리큘럼 확정 운영계획서 확정,V2-L6-0874,커리큘럼 확정,중간 커리큘럼 확정 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,커리큘럼 확정,커리큘럼 확정 수료 발행,V2-L6-0875,커리큘럼 확정,중간 커리큘럼 확정 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,커리큘럼 확정,성과 리포트 발행,V2-L6-0876,커리큘럼 확정,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,평가 도구 설계(KPI),평가 도구 설계(KPI) 요청 접수 로그 생성,V2-L6-0881,평가 도구 설계(KPI),평가 도구 설계(KPI) 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,평가 도구 설계(KPI),평가 도구 설계(KPI) 운영계획서 확정,V2-L6-0882,평가 도구 설계(KPI),중간 평가 도구 설계(KPI) 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,평가 도구 설계(KPI),평가 도구 설계(KPI) 수료 발행,V2-L6-0883,평가 도구 설계(KPI),중간 평가 도구 설계(KPI) 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,평가 도구 설계(KPI),성과 리포트 발행,V2-L6-0884,평가 도구 설계(KPI),성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,프로그램 운영방안 결정,프로그램 운영방안 결정 요청 접수 로그 생성,V2-L6-0877,프로그램 운영방안 결정,프로그램 운영방안 결정 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,프로그램 운영방안 결정,프로그램 운영방안 결정 운영계획서 확정,V2-L6-0878,프로그램 운영방안 결정,중간 프로그램 운영방안 결정 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,프로그램 운영방안 결정,프로그램 운영방안 결정 수료 발행,V2-L6-0879,프로그램 운영방안 결정,중간 프로그램 운영방안 결정 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,프로그램 운영방안 결정,성과 리포트 발행,V2-L6-0880,프로그램 운영방안 결정,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,교육대상 분석,교육대상 분석 요청 접수 로그 생성,V2-L6-0861,교육대상 분석,교육대상 분석 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,교육대상 분석,교육대상 분석 운영계획서 확정,V2-L6-0862,교육대상 분석,중간 교육대상 분석 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,교육대상 분석,교육대상 분석 수료 발행,V2-L6-0863,교육대상 분석,중간 교육대상 분석 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,교육대상 분석,성과 리포트 발행,V2-L6-0864,교육대상 분석,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,요구사항분석,요구사항분석 요청 접수 로그 생성,V2-L6-0853,요구사항분석,요구사항분석 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,요구사항분석,요구사항분석 운영계획서 확정,V2-L6-0854,요구사항분석,중간 요구사항분석 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,요구사항분석,요구사항분석 수료 발행,V2-L6-0855,요구사항분석,중간 요구사항분석 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,요구사항분석,성과 리포트 발행,V2-L6-0856,요구사항분석,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,커리큘럼 기획,커리큘럼 기획 요청 접수 로그 생성,V2-L6-0865,커리큘럼 기획,커리큘럼 기획 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,커리큘럼 기획,커리큘럼 기획 운영계획서 확정,V2-L6-0866,커리큘럼 기획,중간 커리큘럼 기획 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,커리큘럼 기획,커리큘럼 기획 수료 발행,V2-L6-0867,커리큘럼 기획,중간 커리큘럼 기획 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,커리큘럼 기획,성과 리포트 발행,V2-L6-0868,커리큘럼 기획,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,트렌드분석,트렌드분석 요청 접수 로그 생성,V2-L6-0857,트렌드분석,트렌드분석 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,트렌드분석,트렌드분석 운영계획서 확정,V2-L6-0858,트렌드분석,중간 트렌드분석 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,트렌드분석,트렌드분석 수료 발행,V2-L6-0859,트렌드분석,중간 트렌드분석 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,트렌드분석,성과 리포트 발행,V2-L6-0860,트렌드분석,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,과정 개설,과정 개설 요청 접수 로그 생성,V2-L6-0788,과정 개설,과정 개설 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,과정 개설,과정 개설 운영계획서 확정,V2-L6-0789,과정 개설,중간 과정 개설 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,과정 개설,과정 개설 수료 발행,V2-L6-0790,과정 개설,중간 과정 개설 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,과정 개설,성과 리포트 발행,V2-L6-0791,과정 개설,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,과정 운영,과정 운영 요청 접수 로그 생성,V2-L6-0817,과정 운영,과정  기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,과정 운영,과정 운영 운영계획서 확정,V2-L6-0818,과정 운영,중간 과정  결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,과정 운영,과정 운영 수료 발행,V2-L6-0819,과정 운영,중간 과정  결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,과정 운영,성과 리포트 발행,V2-L6-0820,과정 운영,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,과정설문 취합/분석,과정설문 취합 생성,V2-L6-0821,과정설문 취합/분석,과정설문 취합/분석 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,과정설문 취합/분석,분석 요청 접수 로그 생성,V2-L6-0822,과정설문 취합/분석,중간 과정설문 취합/분석 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,과정설문 취합/분석,과정설문 취합 확정,V2-L6-0823,과정설문 취합/분석,중간 과정설문 취합/분석 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,과정설문 취합/분석,과정설문 취합 발행,V2-L6-0824,과정설문 취합/분석,과정설문 취합 발행,상시,training_report,유지,원본 명칭/구조 유지
교육,과정설문 취합/분석,분석 운영계획서 확정,V2-L6-0825,과정설문 취합/분석,분석 운영계획서 확정,상시,approval_doc,유지,원본 명칭/구조 유지
교육,과정설문 취합/분석,분석 수료 발행,V2-L6-0826,과정설문 취합/분석,분석 수료 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,과정설문 취합/분석,성과 리포트 발행,V2-L6-0827,과정설문 취합/분석,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,교육 실행 계획 수립,교육 실행 계획 수립 요청 접수 로그 생성,V2-L6-0780,교육 실행 계획 수립,교육 실행 계획 수립 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,교육 실행 계획 수립,교육 실행 계획 수립 운영계획서 확정,V2-L6-0781,교육 실행 계획 수립,중간 교육 실행 계획 수립 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,교육 실행 계획 수립,교육 실행 계획 수립 수료 발행,V2-L6-0782,교육 실행 계획 수립,중간 교육 실행 계획 수립 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,교육 실행 계획 수립,성과 리포트 발행,V2-L6-0783,교육 실행 계획 수립,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
