[AS-IS] L3,[AS-IS] L4,[AS-IS] L5,[AS-IS] L6,[TO-BE] L3,[TO-BE] L4,[TO-BE] L5,[TO-BE] L6,추천 주체,전략 사유
채용,채용계획,채용 계획 수립(경영계획),전체 채용규모 산정,채용,채용계획,채용 수요 조사,전년도 직군별 채용 실적 리포트 취합,Digital Worker,과거 데이터베이스의 기계적 수합 및 기초 통계 작성
채용,채용계획,채용 계획 수립(경영계획),팀별 채용규모 확인,채용,채용계획,채용 수요 조사,부서별 인력 수요 조사 양식 배포,Digital Worker,각 부서장에게 수요 조사 템플릿 일괄 발송
채용,채용계획,채용 계획 수립(경영계획),팀별 채용규모 확인,채용,채용계획,채용 수요 조사,회신 데이터 기반 부서별 수요 취합,Digital Worker,접수된 양식을 단일 시트로 병합하는 단순 작업
채용,채용계획,채용 계획 수립(경영계획),충원 필요성 검토,채용,채용계획,채용 TO 확정,부서별 충원 타당성 심사 결과 확정,HR,현업 부서장과의 조율 및 재무적 관점의 정성적 판단
채용,채용계획,채용 계획 수립(경영계획),사업부 채용규모 확정,채용,채용계획,채용 TO 확정,최종 사업부 채용 TO 기안서 확정,HR,경영진 최종 승인을 위한 전략적 문서 완성
채용,채용계획,직무기술서 작성,직무기술서 작성 요청,채용,채용계획,JD(Job Description) 개발,포지션별 직무기술서 작성 요청 메일 발송,Digital Worker,채용 대상 부서에 가이드 및 양식 일괄 발송
채용,채용계획,직무기술서 작성,직무기술서 작성 요청,채용,채용계획,JD(Job Description) 개발,회신된 직무기술서 내용 품질 검수 확정,HR,현업이 작성한 기술서가 채용 시장에 적합한지 톤앤매너 검수
채용,채용계획,직무기술서 작성,직무기술서 작성 요청,채용,채용계획,JD(Job Description) 개발,최종 직무기술서 채용 시스템 등록,Digital Worker,확정된 JD를 사내외 채용 플랫폼 데이터베이스에 업로드
채용,인재발굴,인재 소싱 채널 선정 및 액팅,발굴 기준 확정,채용,인재발굴,다이렉트 소싱 전략 수립,타겟 포지션 핵심 역량 키워드 확정,HR,어떤 역량을 가진 인재를 찾을지 페르소나 정의
채용,인재발굴,인재 소싱 채널 선정 및 액팅,소싱 채널 선정,채용,인재발굴,다이렉트 소싱 전략 수립,이용 소싱 채널(플랫폼/헤드헌터) 목록 확정,HR,포지션 난이도와 예산을 고려한 외부 채널 선정
채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 발굴,채용,인재발굴,소싱 실행(Outbound),키워드 매칭 대상자 이력서 풀 추출,Digital Worker,정해진 키워드를 기반으로 링크드인 등에서 후보자 프로필 자동 스크래핑
채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 발굴,채용,인재발굴,소싱 실행(Outbound),스카웃 제안 콜드메일 발송,Digital Worker,후보자 풀 대상 템플릿 기반 대량 메시지 발송
채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 풀 구축,채용,인재발굴,인재 DB 관리,관심 표명 후보자 이력서 채용DB 등록,Digital Worker,회신온 후보자들의 이력서를 사내 ATS에 자동 적재
채용,선발전형,서류심사,HR 서류 검토 진행,채용,선발전형,지원서 접수 및 필터링,블라인드 위반/필수 요건 미달자 필터링 명단 확정,Digital Worker,"최소 학력, 금지어(블라인드) 포함 여부 등 시스템 자동 필터링"
채용,선발전형,서류심사,HR 서류 검토 진행,채용,선발전형,서류 평가 운영,HR 서류 평가 점수표 확정,HR,HR 관점에서의 정성적 역량 및 로열티 1차 평가
채용,선발전형,서류심사,현업 서류 검토 진행,채용,선발전형,서류 평가 운영,현업 면접관 서류 검토 요청 알림 발송,Digital Worker,해당 부서 면접관에게 시스템 알림 및 리마인더 자동 발송
채용,선발전형,서류심사,현업 서류 검토 진행,채용,선발전형,서류 평가 운영,최종 서류 전형 합격자 명단 확정,HR,HR과 현업의 점수를 취합하여 최종 서류 합격 커트라인 및 명단 확정
채용,선발전형,서류심사,서류 검토 결과안내,채용,선발전형,서류 평가 운영,서류 전형 결과(합/불) 안내 메일 발송,Digital Worker,합불 명단을 바탕으로 템플릿 메일 일괄 전송
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 대상자 선정,채용,선발전형,온/오프라인 테스트 운영,테스트 응시 대상자 명단 취합,Digital Worker,서류 합격자 명단을 기반으로 응시 대상자 DB 자동 이관
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 일정/장소 확정,채용,선발전형,온/오프라인 테스트 운영,테스트 일시 및 방식(온/오프) 기안서 확정,HR,응시자 규모를 고려한 예산 및 진행 방식 기획/결정
