[AS-IS] L3,[AS-IS] L4,[AS-IS] L5,[AS-IS] L6,[TO-BE] L3,[TO-BE] L4,[TO-BE] L5,[TO-BE] L6,추천 주체,전략 사유
채용,채용계획,채용 계획 수립(경영계획),전체 채용규모 산정,채용,채용계획,채용 계획 수립(경영계획),[전체 채용규모 산정] 요건 확인용 기초 자료 취합,Digital Worker,산재된 데이터의 중앙 집중화
채용,채용계획,채용 계획 수립(경영계획),전체 채용규모 산정,채용,채용계획,채용 계획 수립(경영계획),[전체 채용규모 산정] 인사 기준 기반 최종 결과 확정,HR,인사규정 및 상황에 따른 최종 승인
채용,채용계획,채용 계획 수립(경영계획),팀별 채용규모 확인,채용,채용계획,채용 계획 수립(경영계획),[팀별 채용규모 확인] 요건 확인용 기초 자료 취합,Digital Worker,산재된 데이터의 중앙 집중화
채용,채용계획,채용 계획 수립(경영계획),팀별 채용규모 확인,채용,채용계획,채용 계획 수립(경영계획),[팀별 채용규모 확인] 인사 기준 기반 최종 결과 확정,HR,인사규정 및 상황에 따른 최종 승인
채용,채용계획,채용 계획 수립(경영계획),충원 필요성 검토,채용,채용계획,채용 계획 수립(경영계획),[충원 필요성 검토] 심사 대상자 데이터베이스 추출,Digital Worker,시스템 내 후보군/대상자 조건 기반 자동 필터링 및 명단 추출
채용,채용계획,채용 계획 수립(경영계획),충원 필요성 검토,채용,채용계획,채용 계획 수립(경영계획),[충원 필요성 검토] 타당성 검토 및 최종 결과안 확정,HR,대상자 요건 및 조직 정황을 고려한 정성적 판단 및 의사결정
채용,채용계획,채용 계획 수립(경영계획),충원 필요성 검토,채용,채용계획,채용 계획 수립(경영계획),[충원 필요성 검토] 확정 결과 시스템 반영 및 저장,Digital Worker,HR이 확정한 최종 결과값을 인사 시스템에 기계적 업데이트
채용,채용계획,채용 계획 수립(경영계획),사업부 채용규모 확정,채용,채용계획,채용 계획 수립(경영계획),[사업부 채용규모 확정] 심사 대상자 데이터베이스 추출,Digital Worker,시스템 내 후보군/대상자 조건 기반 자동 필터링 및 명단 추출
채용,채용계획,채용 계획 수립(경영계획),사업부 채용규모 확정,채용,채용계획,채용 계획 수립(경영계획),[사업부 채용규모 확정] 타당성 검토 및 최종 결과안 확정,HR,대상자 요건 및 조직 정황을 고려한 정성적 판단 및 의사결정
채용,채용계획,채용 계획 수립(경영계획),사업부 채용규모 확정,채용,채용계획,채용 계획 수립(경영계획),[사업부 채용규모 확정] 확정 결과 시스템 반영 및 저장,Digital Worker,HR이 확정한 최종 결과값을 인사 시스템에 기계적 업데이트
