[AS-IS] L3,[AS-IS] L4,[AS-IS] L5,[AS-IS] L6,[TO-BE] L3,[TO-BE] L4,[TO-BE] L5,[TO-BE] L6,추천 주체,전략 사유
채용,채용 후속조치,입사 및 온보딩,입사 전 O/T 진행,채용,채용 후속조치,입사 및 온보딩,입사 대상자 명단 확정,HR,입사 대상자에 대한 최종 예외사항 점검 및 명단 확정은 HR의 판단 필요.
채용,채용 후속조치,입사 및 온보딩,입사절차 안내(입사자),채용,채용 후속조치,입사 및 온보딩,온보딩 안내 메일 발송,Digital Worker,대상자 명단을 기반으로 한 단순 반복적 메일 발송 업무.
채용,채용 후속조치,입사 및 온보딩,입사발령(Workday),채용,채용 후속조치,입사 및 온보딩,입사자 정보 ERP 등록,Digital Worker,입사자 정보를 시스템에 업로드하는 규칙 기반 작업.
채용,채용 후속조치,입사 및 온보딩,입사 전 준비,채용,채용 후속조치,입사 및 온보딩,웰컴키트 실물 포장 및 발송,SSC,물리적 포장 및 택배 발송이 포함된 업무 패키지.
채용,채용 후속조치,입사 및 온보딩,입문교육 진행,채용,채용 후속조치,입사 및 온보딩,온보딩 교육 커리큘럼 확정,HR,교육 내용과 방향성을 설정하는 기획 업무.
채용,채용 후속조치,입사 및 온보딩,멘토링/면담 진행,채용,채용 후속조치,입사 및 온보딩,중간 점검 현황표 작성,Eliminate,시스템상 대시보드로 실시간 확인 가능하므로 별도 수기 작성 제거.
채용,채용 후속조치,입사 및 온보딩,비용 지급/관리,채용,채용 후속조치,입사 및 온보딩,,,
인력운영,휴복직,휴직,휴직 신청,인력운영,휴복직,휴직,휴직 요건 및 잔여일수 안내 발송,Digital Worker,단순 규정 안내 및 잔여일수 조회는 챗봇/DW가 담당 가능.
인력운영,휴복직,휴직,휴직 면담,인력운영,휴복직,휴직,휴직 신청서 접수 완료,Digital Worker,시스템을 통한 자동 접수 및 분류.
인력운영,휴복직,휴직,"휴직 적정성 및 일정, 서류 검토",인력운영,휴복직,휴직,휴직 예외사항 면담 결과 확정,HR,규정을 벗어난 특이 케이스에 대한 정성적 판단 및 면담 진행.
인력운영,휴복직,휴직,휴직원 작성 및 신청,인력운영,휴복직,휴직,휴직 증빙 서류 육안 검증 완료,SSC,진단서 등 육안으로 진위여부를 확인해야 하는 서류 대조 업무 패키지.
인력운영,휴복직,휴직,휴직 행정사항 안내,인력운영,휴복직,휴직,휴직 발령 ERP 등록,Digital Worker,검증 완료된 데이터에 대한 기계적인 시스템 입력.
인력운영,휴복직,휴직,휴직 연장 신청,인력운영,휴복직,휴직,,,
