[AS-IS] L4,[AS-IS] L5,[AS-IS] L6,Activity_ID,[TO-BE] L4,[TO-BE] L5,[TO-BE] L6,Cadence,Output Type,Change_Logic,L3(도메인)
교육과정설계,Pilot과정 운영,대상자 선발,V2-L6-0885,의사결정·승인 프로세스 그룹,Pilot과정 운영 [기준확정],Pilot과정  기준서 확정,상시,approval_doc,L4를 기능 목적 기준으로 재그룹핑,교육
교육과정설계,Pilot과정 운영,대상자 선발,V2-L6-0886,실행·반영 프로세스 그룹,Pilot과정 운영 [실행등록],중간 Pilot과정  결과표 등록,상시,analysis_report,L4를 기능 목적 기준으로 재그룹핑,교육
교육과정설계,Pilot과정 운영,과정 운영,V2-L6-0887,실행·반영 프로세스 그룹,Pilot과정 운영 [통보인계],중간 Pilot과정  결과표 등록,상시,analysis_report,L4를 기능 목적 기준으로 재그룹핑,교육
교육과정설계,Pilot과정 운영,결과 분석/반영,V2-L6-0888,운영 공통 프로세스 그룹,Pilot과정 운영 [확장단계4],성과 리포트 발행,상시,analysis_report,L4를 기능 목적 기준으로 재그룹핑,교육
교육과정설계,커리큘럼 기획,과정목표 수립,V2-L6-0869,의사결정·승인 프로세스 그룹,커리큘럼 기획 [기준확정],커리큘럼 기획 기준서 확정,상시,approval_doc,L4를 기능 목적 기준으로 재그룹핑,교육
교육과정설계,커리큘럼 기획,과정목표 수립,V2-L6-0870,실행·반영 프로세스 그룹,커리큘럼 기획 [실행등록],중간 커리큘럼 기획 결과표 등록,상시,analysis_report,L4를 기능 목적 기준으로 재그룹핑,교육
교육과정설계,커리큘럼 기획,예산 검토,V2-L6-0871,실행·반영 프로세스 그룹,커리큘럼 기획 [통보인계],중간 커리큘럼 기획 결과표 등록,상시,analysis_report,L4를 기능 목적 기준으로 재그룹핑,교육
교육과정설계,커리큘럼 기획,커리큘럼 개발,V2-L6-0872,운영 공통 프로세스 그룹,커리큘럼 기획 [확장단계4],성과 리포트 발행,상시,analysis_report,L4를 기능 목적 기준으로 재그룹핑,교육
교육과정설계,커리큘럼 확정,내부 보고/품의,V2-L6-0873,의사결정·승인 프로세스 그룹,커리큘럼 확정 [기준확정],커리큘럼 확정 기준서 확정,상시,approval_doc,L4를 기능 목적 기준으로 재그룹핑,교육
교육과정설계,커리큘럼 확정,내부 보고/품의,V2-L6-0874,실행·반영 프로세스 그룹,커리큘럼 확정 [실행등록],중간 커리큘럼 확정 결과표 등록,상시,analysis_report,L4를 기능 목적 기준으로 재그룹핑,교육
교육과정설계,커리큘럼 확정,내부 보고/품의,V2-L6-0875,실행·반영 프로세스 그룹,커리큘럼 확정 [통보인계],중간 커리큘럼 확정 결과표 등록,상시,analysis_report,L4를 기능 목적 기준으로 재그룹핑,교육
교육과정설계,커리큘럼 확정,내부 보고/품의,V2-L6-0876,운영 공통 프로세스 그룹,커리큘럼 확정 [확장단계4],성과 리포트 발행,상시,analysis_report,L4를 기능 목적 기준으로 재그룹핑,교육
교육과정설계,평가 도구 설계(KPI),역량평가 도구/방식 기획,V2-L6-0881,심사·평가 프로세스 그룹,평가 도구 설계(KPI) [기준확정],평가 도구 설계(KPI) 기준서 확정,상시,approval_doc,L4를 기능 목적 기준으로 재그룹핑,교육
교육과정설계,평가 도구 설계(KPI),역량평가 도구/방식 기획,V2-L6-0882,심사·평가 프로세스 그룹,평가 도구 설계(KPI) [실행등록],중간 평가 도구 설계(KPI) 결과표 등록,상시,analysis_report,L4를 기능 목적 기준으로 재그룹핑,교육
교육과정설계,평가 도구 설계(KPI),"프로그램 평가 기획(효과성, 만족도)",V2-L6-0883,심사·평가 프로세스 그룹,평가 도구 설계(KPI) [통보인계],중간 평가 도구 설계(KPI) 결과표 등록,상시,analysis_report,L4를 기능 목적 기준으로 재그룹핑,교육
교육과정설계,평가 도구 설계(KPI),"프로그램 평가 기획(효과성, 만족도)",V2-L6-0884,심사·평가 프로세스 그룹,평가 도구 설계(KPI) [확장단계4],성과 리포트 발행,상시,analysis_report,L4를 기능 목적 기준으로 재그룹핑,교육
교육과정설계,프로그램 운영방안 결정,교육 형태/기간,V2-L6-0877,의사결정·승인 프로세스 그룹,프로그램 운영방안 결정 [기준확정],프로그램 운영방안 결정 기준서 확정,상시,approval_doc,L4를 기능 목적 기준으로 재그룹핑,교육
교육과정설계,프로그램 운영방안 결정,교육 형태/기간,V2-L6-0878,실행·반영 프로세스 그룹,프로그램 운영방안 결정 [실행등록],중간 프로그램 운영방안 결정 결과표 등록,상시,analysis_report,L4를 기능 목적 기준으로 재그룹핑,교육
교육과정설계,프로그램 운영방안 결정,신청/선발 방식,V2-L6-0879,실행·반영 프로세스 그룹,프로그램 운영방안 결정 [통보인계],중간 프로그램 운영방안 결정 결과표 등록,상시,analysis_report,L4를 기능 목적 기준으로 재그룹핑,교육
교육과정설계,프로그램 운영방안 결정,신청/선발 방식,V2-L6-0880,운영 공통 프로세스 그룹,프로그램 운영방안 결정 [확장단계4],성과 리포트 발행,상시,analysis_report,L4를 기능 목적 기준으로 재그룹핑,교육
