Activity_ID,L3,L4,L5,AS_IS_L6,TO_BE_L6,Token_Coverage,AS_Tokens,TO_Tokens,Issue
V2-L6-0001,교육,교육과정설계,Pilot과정 운영,대상자 선발,Pilot과정 운영 Pilot과정 결과 확정,0.00,선발,"Pilot과정,확정",창작/과치환 의심
V2-L6-0002,교육,교육과정설계,Pilot과정 운영,과정 운영,Pilot과정 운영 검토 의견 등록,0.00,과정,"Pilot과정,검토,등록,의견",창작/과치환 의심
V2-L6-0003,교육,교육과정설계,Pilot과정 운영,결과 분석/반영,Pilot과정 운영 수정본 등록,0.00,"반영,분석","Pilot과정,등록,수정본",창작/과치환 의심
V2-L6-0004,교육,교육과정설계,Pilot과정 운영,결과 분석/반영,Pilot과정 운영 승인 결재 승인 완료,0.00,"반영,분석","Pilot과정,결재,승인,완료",창작/과치환 의심
V2-L6-0005,교육,교육과정설계,커리큘럼 확정,내부 보고/품의,커리큘럼 확정 결과 확정,0.00,"내부,보고,품의","커리큘럼,확정",창작/과치환 의심
V2-L6-0006,교육,교육과정설계,커리큘럼 확정,내부 보고/품의,커리큘럼 확정 검토 의견 등록,0.00,"내부,보고,품의","검토,등록,의견,커리큘럼,확정",창작/과치환 의심
V2-L6-0007,교육,교육과정설계,커리큘럼 확정,내부 보고/품의,커리큘럼 확정 수정본 등록,0.00,"내부,보고,품의","등록,수정본,커리큘럼,확정",창작/과치환 의심
V2-L6-0008,교육,교육과정설계,커리큘럼 확정,내부 보고/품의,커리큘럼 확정 승인 결재 승인 완료,0.00,"내부,보고,품의","결재,승인,완료,커리큘럼,확정",창작/과치환 의심
V2-L6-0013,교육,교육과정설계,프로그램 운영방안 결정,교육 형태/기간,프로그램 운영방안 결정 결과 확정,0.00,"교육,기간,형태","결정,운영방안,프로그램,확정",창작/과치환 의심
V2-L6-0014,교육,교육과정설계,프로그램 운영방안 결정,신청/선발 방식,프로그램 운영방안 결정 검토 의견 등록,0.00,"방식,선발,신청","검토,결정,등록,운영방안,의견,프로그램",창작/과치환 의심
V2-L6-0015,교육,교육과정설계,프로그램 운영방안 결정,신청/선발 방식,프로그램 운영방안 결정 수정본 등록,0.00,"방식,선발,신청","결정,등록,수정본,운영방안,프로그램",창작/과치환 의심
V2-L6-0016,교육,교육과정설계,프로그램 운영방안 결정,신청/선발 방식,프로그램 운영방안 결정 승인 결재 승인 완료,0.00,"방식,선발,신청","결재,결정,승인,완료,운영방안,프로그램",창작/과치환 의심
V2-L6-0018,교육,교육니즈분석,교육대상 분석,특수 국적/언어 등,교육대상 분석 검토 의견 등록,0.00,"국적,언어,특수","검토,교육대상,등록,분석,의견",창작/과치환 의심
V2-L6-0021,교육,교육니즈분석,요구사항분석,경영진요구사항 분석,요구사항분석 결과 확정,0.00,"경영진요구사항,분석","요구사항분석,확정",창작/과치환 의심
V2-L6-0022,교육,교육니즈분석,요구사항분석,임직원 요구사항 분석,요구사항분석 검토 의견 등록,0.00,"분석,요구사항,임직원","검토,등록,요구사항분석,의견",창작/과치환 의심
V2-L6-0023,교육,교육니즈분석,요구사항분석,임직원 요구사항 분석,요구사항분석 수정본 등록,0.00,"분석,요구사항,임직원","등록,수정본,요구사항분석",창작/과치환 의심
V2-L6-0024,교육,교육니즈분석,요구사항분석,임직원 요구사항 분석,요구사항분석 승인 결재 승인 완료,0.00,"분석,요구사항,임직원","결재,승인,완료,요구사항분석",창작/과치환 의심
V2-L6-0025,교육,교육니즈분석,커리큘럼 기획,전년도 결과 리뷰/분석,커리큘럼 기획 커리큘럼 결과 확정,0.00,"리뷰,분석,전년도","기획,커리큘럼,확정",창작/과치환 의심
V2-L6-0026,교육,교육니즈분석,커리큘럼 기획,인사이트 발굴,커리큘럼 기획 검토 의견 확정,0.00,"발굴,인사이트","검토,기획,의견,커리큘럼,확정",창작/과치환 의심
V2-L6-0027,교육,교육니즈분석,커리큘럼 기획,우선순위 도출,커리큘럼 기획 수정본 등록,0.00,"도출,우선순위","기획,등록,수정본,커리큘럼",창작/과치환 의심
V2-L6-0028,교육,교육니즈분석,커리큘럼 기획,우선순위 도출,커리큘럼 기획 승인 결재 승인 완료,0.00,"도출,우선순위","결재,기획,승인,완료,커리큘럼",창작/과치환 의심
