[AS-IS] L3,[AS-IS] L4,[AS-IS] L5,[AS-IS] L6,[TO-BE] L3,[TO-BE] L4,[TO-BE] L5,[TO-BE] L6,클렌징 주체,전략 사유
채용,채용계획,채용 계획 수립(경영계획),전체 채용규모 산정,채용,채용계획,채용 계획 기획,전년도 채용 데이터 취합,Digital Worker,과거 데이터베이스의 기계적 수합
채용,채용계획,채용 계획 수립(경영계획),전체 채용규모 산정,채용,채용계획,채용 계획 기획,전사 채용 규모 가이드라인 확정,HR,경영진 및 재무팀 조율을 통한 고부가가치 의사결정
채용,채용계획,채용 계획 수립(경영계획),팀별 채용규모 확인,채용,채용계획,부서별 수요 조사,채용 수요 조사 양식 배포,Digital Worker,템플릿 기반의 대량/반복 안내 메일 발송
채용,채용계획,채용 계획 수립(경영계획),팀별 채용규모 확인,채용,채용계획,부서별 수요 조사,팀별 수요 취합 결과서 작성,Digital Worker,회신된 양식의 기계적 취합 및 목록화
채용,채용계획,채용 계획 수립(경영계획),충원 필요성 검토,채용,채용계획,채용 규모 확정,부서별 충원 타당성 검토 결과 확정,HR,정성적 판단 및 부서장 면담을 통한 최종 조율
채용,채용계획,채용 계획 수립(경영계획),사업부 채용규모 확정,채용,채용계획,채용 규모 확정,최종 사업부 채용규모 기안서 완료,HR,경영진 최종 승인을 위한 문서 작성
채용,채용계획,직무기술서 작성,직무기술서 작성 요청,채용,채용계획,직무기술서 관리,직무기술서 작성 요청 메일 발송,Digital Worker,부서별 담당자에게 작성 요청을 일괄 발송
채용,채용계획,직무기술서 작성,직무기술서 작성 요청,채용,채용계획,직무기술서 관리,직무기술서 취합 및 내용 검수 확정,HR,현업이 작성한 내용의 적절성(JD 품질) 검수
채용,인재발굴,인재 소싱 채널 선정 및 액팅,발굴 기준 확정,채용,인재발굴,소싱 전략 수립,포지션별 발굴 기준 확정,HR,어떤 역량을 가진 인재를 찾을지 타겟팅하는 기획 업무
채용,인재발굴,인재 소싱 채널 선정 및 액팅,소싱 채널 선정,채용,인재발굴,소싱 전략 수립,소싱 채널(플랫폼/헤드헌터) 리스트 확정,HR,비용 대비 효과를 고려한 외부 채널 선정
채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 발굴,채용,인재발굴,외부 소싱 실행,채용 플랫폼 내 키워드 기반 후보자 추출 완료,Digital Worker,정해진 키워드(JD)를 기반으로 링크드인 등에서 후보자 프로필 자동 수집
채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 발굴,채용,인재발굴,외부 소싱 실행,콜드메일/인메일 일괄 발송,Digital Worker,후보자군에 대한 기계적이고 반복적인 컨택 메시지 발송
채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 풀 구축,채용,인재발굴,인재 Pool 관리,관심 표명 후보자 DB 등록,Digital Worker,회신온 후보자들의 이력서를 채용 시스템에 자동 적재
채용,선발전형,서류심사,HR 서류 검토 진행,채용,선발전형,서류 접수 및 검토,필수 요건(블라인드 등) 미달자 필터링,Digital Worker,기본 요건 미달자를 시스템 필터링으로 자동 탈락 처리
채용,선발전형,서류심사,HR 서류 검토 진행,채용,선발전형,서류 접수 및 검토,HR 서류 평가 점수 확정,HR,후보자의 이력과 자기소개서에 대한 HR 관점의 정성적 검토
채용,선발전형,서류심사,현업 서류 검토 진행,채용,선발전형,현업 평가,서류 검토 요청 시스템 알림 발송,Digital Worker,현업 면접관에게 시스템에서 자동 알림 및 리마인더 발송
채용,선발전형,서류심사,서류 검토 결과안내,채용,선발전형,현업 평가,서류 합불 결과 안내 메일 발송,Digital Worker,확정된 합불 명단을 기반으로 템플릿 메일 일괄 발송
인력운영,인력이동,사내 Job Posting,사업부문(부서별) J/P 부서 수요 취합,인력운영,인력이동,J/P 기획 및 공고,J/P 수요 조사 양식 배포,Digital Worker,수요 취합을 위한 일괄 시스템/메일 요청
인력운영,인력이동,사내 Job Posting,J/P 운영 타당성 검토,인력운영,인력이동,J/P 기획 및 공고,오픈 대상 J/P 포지션 확정,HR,타 부서 전배를 오픈할 만큼 중요한 포지션인지 타당성 심사
인력운영,인력이동,사내 Job Posting,Post 확정 후 J/P 실시,인력운영,인력이동,J/P 기획 및 공고,사내 게시판 J/P 공고문 등록,Digital Worker,작성된 공고문의 시스템 업로드
인력운영,인력이동,사내 Job Posting,지원자 지원 자격 검토,인력운영,인력이동,J/P 선발 운영,근속연수/고과 등 자격 미달자 필터링,Digital Worker,사내 전배 규정(최소 근속 등)에 따른 자동 필터링
인력운영,인력이동,사내 Job Posting,면접평가 결과 검토,인력운영,인력이동,J/P 선발 운영,면접 합격자 명단 확정,HR,면접 결과를 바탕으로 최종 전입 대상자 확정 조율
인력운영,인력이동,사내 Job Posting,사업부간/부서간 인력 적정성 검토,인력운영,인력이동,J/P 선발 운영,전출/전입 부서장 간 할애 일정 합의 완료,HR,부서장 간의 이해관계 충돌 조율 및 최종 일정 협상 (고부가가치)
인력운영,인력이동,사내 Job Posting,전배발령,인력운영,인력이동,J/P 사후 조치,인사 발령 기안서 승인 완료,Digital Worker,확정된 일정을 시스템상 발령으로 생성
인력운영,휴복직,휴직,휴직 신청,인력운영,휴복직,휴직 신청/접수,휴직 가능 여부 및 잔여일수 안내 챗봇 응대,Digital Worker,직원의 규정 및 잔여일수 문의를 챗봇이 대응
인력운영,휴복직,휴직,휴직원 작성 및 신청,인력운영,휴복직,휴직 신청/접수,휴직 증빙 서류 육안 대조 완료,SSC,질병/가족돌봄 등 진단서 원본의 육안 대조 및 징구 패키지
인력운영,휴복직,휴직,휴직 면담,인력운영,휴복직,휴직 심사,특이 케이스 휴직 면담 결과 확정,HR,"번아웃, 조직 갈등 등 HR 개입이 필요한 예외적 면담 진행"
인력운영,휴복직,휴직,휴직 행정사항 안내,인력운영,휴복직,휴직 사후 처리,휴직자 급여/복리후생 변동사항 안내 메일 발송,Digital Worker,휴직 확정 시 자동 안내문 발송
인력운영,휴복직,휴직,휴직 행정사항 안내,인력운영,휴복직,휴직 사후 처리,휴직 발령 ERP 시스템 등록,Digital Worker,기계적 시스템 반영
