[AS-IS] L3,[AS-IS] L4,[AS-IS] L5,[AS-IS] L6,[TO-BE] L3,[TO-BE] L4,[TO-BE] L5,[TO-BE] L6,추천 주체,전략 사유
채용,채용계획,채용 계획 수립(경영계획),전체 채용규모 산정,채용,채용계획,채용 수요 조사,전년도 전형별 채용 실적 리포트 추출,Digital Worker,시스템 리포트 기반 기초 데이터 확보
채용,채용계획,채용 계획 수립(경영계획),전체 채용규모 산정,채용,채용계획,채용 전략 수립,사업부별 인력 충원 가이드라인 확정,HR,경영 목표에 따른 정성적 전략 수립
채용,선발전형,서류심사,HR 서류 검토 진행,채용,선발전형,지원서 접수 및 필터링,결격 사유(학위/병역 등) 자동 필터링 명단 추출,Digital Worker,규칙 기반 시스템 필터링
채용,선발전형,서류심사,HR 서류 검토 진행,채용,선발전형,서류 평가 운영,평가 대상자 이력서 및 포트폴리오 팩 취합,Digital Worker,시스템 내 산재된 서류를 평가용으로 묶음 작업
채용,선발전형,서류심사,HR 서류 검토 진행,채용,선발전형,서류 평가 운영,서류 전형 평가 점수표 확정,HR,정성적 역량 검토 및 합불 판정
채용,선발전형,서류심사,서류 검토 결과안내,채용,선발전형,서류 평가 운영,서류 전형 결과(합/불) 안내문 발송,Digital Worker,확정 명단 대상 시스템 자동 발송
채용,선발전형,면접,면접일정 조율,채용,선발전형,면접 일정 관리,면접관 및 후보자 가능 시간대 취합,Digital Worker,일정 조율 도구 또는 메일 기반 데이터 수집
채용,선발전형,면접,면접일정 조율,채용,선발전형,면접 일정 관리,최종 면접 타임테이블 확정,HR,복잡한 일정 충돌 및 우선순위 조율
채용,선발전형,면접,면접 운영,채용,선발전형,면접 실행 및 지원,오프라인 면접장 다과 및 안내문 세팅 패키지,SSC,현장 물리적 서비스 통이관
채용,선발전형,면접,면접 운영,채용,선발전형,면접 실행 및 지원,면접 불참자 발생 시 긴급 조치 확정,HR,현장 돌발 상황에 대한 즉각적 판단
인력운영,인력이동,사내 Job Posting,사업부문(부서별) J/P 부서 수요 취합,인력운영,인력이동,J/P(Job Posting) 기획,조직별 결원 및 충원 필요성 리포트 추출,Digital Worker,인사 DB 연동 현황 파악
인력운영,인력이동,사내 Job Posting,사업부문(부서별) J/P 부서 수요 취합,인력운영,인력이동,J/P(Job Posting) 기획,J/P 오픈 대상 포지션 및 자격 요건 확정,HR,전사 인력 효율성을 고려한 의사결정
인력운영,인력이동,사내 Job Posting,전배발령,인력운영,인력이동,J/P 사후 관리,전출/전입 부서장 간 실이동 일정 합의서 확정,HR,현업 간의 민감한 인력 인도 시점 조율
인력운영,인력이동,사내 Job Posting,전배발령,인력운영,인력이동,J/P 사후 관리,최종 발령 데이터 인사 시스템 등록,Digital Worker,확정 데이터의 기계적 적재
인력운영,휴복직,휴직,"휴직 적정성 및 일정, 서류 검토",인력운영,휴복직,휴직 접수 및 심사,휴직 증빙 서류(진단서 등) 원본 대조,SSC,실물 서류의 진위여부 육안 대조 패키지
인력운영,휴복직,휴직,"휴직 적정성 및 일정, 서류 검토",인력운영,휴복직,휴직 접수 및 심사,휴직 대상자 적격성 심사 결과 확정,HR,규정 준수 여부 및 예외 승인 책임
총무,사내 인프라 관리,비품 관리,비품 관리 요청 접수 확정,총무,사내 인프라 관리,비품 보급 관리,비품 신청 내역 시스템 취합,Digital Worker,자체 시스템/메일 신청 데이터 목록화
총무,사내 인프라 관리,비품 관리,비품 관리 현장 조치 발송,총무,사내 인프라 관리,비품 보급 관리,비품 실물 배송 및 수령 확인 패키지,SSC,물리적 배송 및 현장 대응 업무
