[AS-IS] L3,[AS-IS] L4,[AS-IS] L5,[AS-IS] L6,[TO-BE] L3,[TO-BE] L4,[TO-BE] L5,[TO-BE] L6,추천 주체,전략 사유
채용,채용계획,채용 계획 수립(경영계획),전체 채용규모 산정,채용,채용계획,채용 계획 수립(경영계획),전체 채용규모 산정 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,채용계획,채용 계획 수립(경영계획),전체 채용규모 산정,채용,채용계획,채용 계획 수립(경영계획),전체 채용규모 산정 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,채용계획,채용 계획 수립(경영계획),팀별 채용규모 확인,채용,채용계획,채용 계획 수립(경영계획),팀별 채용규모 확인 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,채용계획,채용 계획 수립(경영계획),팀별 채용규모 확인,채용,채용계획,채용 계획 수립(경영계획),팀별 채용규모 확인 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,채용계획,채용 계획 수립(경영계획),충원 필요성 검토,채용,채용계획,채용 계획 수립(경영계획),충원 필요성 검토 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,채용계획,채용 계획 수립(경영계획),충원 필요성 검토,채용,채용계획,채용 계획 수립(경영계획),충원 필요성 검토 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,채용계획,채용 계획 수립(경영계획),사업부 채용규모 확정,채용,채용계획,채용 계획 수립(경영계획),사업부 채용규모 확정 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,채용계획,채용 계획 수립(경영계획),사업부 채용규모 확정,채용,채용계획,채용 계획 수립(경영계획),사업부 채용규모 확정 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,채용계획,직무기술서 작성,직무기술서 작성 요청,채용,채용계획,직무기술서 작성,직무기술서 작성 요청 데이터 취합 완료,Digital Worker,작성에 필요한 원천 데이터 수집
채용,채용계획,직무기술서 작성,직무기술서 작성 요청,채용,채용계획,직무기술서 작성,직무기술서 작성 요청 기안서 확정,HR,내용 검토 및 기안 확정
채용,인재발굴,인재 소싱 채널 선정 및 액팅,발굴 기준 확정,채용,인재발굴,인재 소싱 채널 선정 및 액팅,발굴 기준 확정 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,인재발굴,인재 소싱 채널 선정 및 액팅,발굴 기준 확정,채용,인재발굴,인재 소싱 채널 선정 및 액팅,발굴 기준 확정 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,인재발굴,인재 소싱 채널 선정 및 액팅,소싱 채널 선정,채용,인재발굴,인재 소싱 채널 선정 및 액팅,소싱 채널 선정 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,인재발굴,인재 소싱 채널 선정 및 액팅,소싱 채널 선정,채용,인재발굴,인재 소싱 채널 선정 및 액팅,소싱 채널 선정 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 발굴,채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 발굴 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
