Activity_ID,L3,L4,L5,Current_L6,Output_Type,Hotspot_Score,Reason,Suggested_L6
V2-L6-0232,기획,자료 작성,주주총회 등 외부 행사 내 인사 관련 자료 작성,주주총회 등 외부 행사 내 인사 관련 자료 작성 검토 의견 등록,analysis_report,6,길이 과다|행위동사 다중|L5 재진술,주주총회 등 외부 행사 내 인사 관련 자료 작성 검토 의견 등록
V2-L6-0573,제도,시상,가이드 수립/배포 및 시스템 준비 1,가이드 수립/배포 및 시스템 준비 승인 결재 승인 통보본 완료,notification_doc,4,길이 과다|알림타입-발송 불일치,가이드 수립/배포 및 시스템 준비 승인 결재 승인 통보본 발송
V2-L6-0526,제도,그라운드룰&업무목표&피드백,승인자/부서장 매핑 확정/변경,승인자/부서장 매핑 확정/변경 공지문 발송 승인 승인본 완료,approval_doc,4,길이 과다|승인타입-확정/승인 불일치,승인자/부서장 매핑 확정/변경 공지문 발송 승인 승인본 확정
V2-L6-0527,제도,그라운드룰&업무목표&피드백,승인자/부서장 매핑 확정/변경,승인자/부서장 매핑 확정/변경 시스템 반영 승인 승인본 완료,approval_doc,4,길이 과다|승인타입-확정/승인 불일치,승인자/부서장 매핑 확정/변경 시스템 반영 승인 승인본 확정
V2-L6-0532,제도,그라운드룰&업무목표&피드백,승인자/부서장 매핑 확정/변경,승인자/부서장 매핑 확정/변경 공지문 발송 승인 통보본 완료,notification_doc,4,길이 과다|알림타입-발송 불일치,승인자/부서장 매핑 확정/변경 공지문 발송 승인 통보본 발송
V2-L6-0533,제도,그라운드룰&업무목표&피드백,승인자/부서장 매핑 확정/변경,승인자/부서장 매핑 확정/변경 시스템 반영 승인 통보본 완료,notification_doc,4,길이 과다|알림타입-발송 불일치,승인자/부서장 매핑 확정/변경 시스템 반영 승인 통보본 발송
V2-L6-0544,제도,그라운드룰&업무목표&피드백,승인자/부서장 매핑 확정/변경,승인자/부서장 매핑 확정/변경 공지문 발송 보완안 승인 완료,notification_doc,4,길이 과다|알림타입-발송 불일치,승인자/부서장 매핑 확정/변경 공지문 발송 보완안 발송
V2-L6-0545,제도,그라운드룰&업무목표&피드백,승인자/부서장 매핑 확정/변경,승인자/부서장 매핑 확정/변경 시스템 반영 보완안 승인 완료,notification_doc,4,길이 과다|알림타입-발송 불일치,승인자/부서장 매핑 확정/변경 시스템 반영 보완안 발송
V2-L6-0538,제도,그라운드룰&업무목표&피드백,승인자/부서장 매핑 확정/변경,승인자/부서장 매핑 확정/변경 공지문 발송 승인 초안 완료,approval_doc,4,길이 과다|승인타입-확정/승인 불일치,승인자/부서장 매핑 확정/변경 공지문 발송 승인 초안 확정
V2-L6-0539,제도,그라운드룰&업무목표&피드백,승인자/부서장 매핑 확정/변경,승인자/부서장 매핑 확정/변경 시스템 반영 승인 초안 완료,approval_doc,4,길이 과다|승인타입-확정/승인 불일치,승인자/부서장 매핑 확정/변경 시스템 반영 승인 초안 확정
V2-L6-0206,기획,자료 작성,People팀 조직 및 인력 현황 작성,People팀 조직 및 인력 현황 작성 검토 의견 등록,analysis_report,4,행위동사 다중|L5 재진술,People팀 조직 및 인력 현황 작성 검토 의견 등록
V2-L6-0217,기획,자료 작성,간담회 등 인사현안/지표 자료 작성,간담회 등 인사현안/지표 자료 작성 검토 의견 등록,analysis_report,4,행위동사 다중|L5 재진술,간담회 등 인사현안/지표 자료 작성 검토 의견 등록
V2-L6-0224,기획,자료 작성,신임임원 등 경영진 교육자료 작성,신임임원 등 경영진 교육자료 작성 검토 의견 등록,analysis_report,4,행위동사 다중|L5 재진술,신임임원 등 경영진 교육자료 작성 검토 의견 등록
V2-L6-0236,기획,자료 작성,팀 업무일정표 및 주요일정 작성,팀 업무일정표 및 주요일정 작성 검토 의견 등록,analysis_report,4,행위동사 다중|L5 재진술,팀 업무일정표 및 주요일정 작성 검토 의견 등록
V2-L6-0703,제도,징계,징계 검토 및 상벌위원회 운영,징계 검토 및 상벌위원회 운영 검토 의견 등록,analysis_report,4,행위동사 다중|L5 재진술,징계 검토 및 상벌위원회 운영 검토 의견 등록
V2-L6-0213,기획,자료 작성,People팀 주간업무 작성,People팀 주간업무 작성 검토 의견 등록,analysis_report,4,행위동사 다중|L5 재진술,People팀 주간업무 작성 검토 의견 등록
V2-L6-0082,교육,교육운영,수료 관리 및 경비처리,수료 관리 및 경비처리 검토 의견 등록,analysis_report,4,행위동사 다중|L5 재진술,수료 관리 및 경비처리 검토 의견 등록
V2-L6-0087,교육,교육운영,수료 관리 및 경비처리,수료 관리 및 경비처리 시행 내역 반영,training_status,4,행위동사 다중|L5 재진술,수료 관리 및 경비처리 시행 내역 반영 등록
V2-L6-0110,교육,내부 컨텐츠 개발,강의안 및 교보재 개발,강의안 및 교보재 개발 검토 반영,training_status,4,행위동사 다중|L5 재진술,강의안 및 교보재 개발 검토 반영 등록
V2-L6-0773,채용,온보딩 관리,온보딩 관리,온보딩 관리 처리 로그 반영,status_log,4,행위동사 다중|L5 재진술,온보딩 관리 처리 로그 반영 등록
V2-L6-0233,기획,자료 작성,주주총회 등 외부 행사 내 인사 관련 자료 작성,주주총회 등 외부 행사 내 인사 관련 자료 작성 수정본 등록,analysis_report,3,길이 과다|L5 재진술,주주총회 등 외부 행사 내 인사 관련 자료 작성 수정본 등록
V2-L6-0231,기획,자료 작성,주주총회 등 외부 행사 내 인사 관련 자료 작성,주주총회 등 외부 행사 내 인사 관련 자료 작성 문서 확정,approval_doc,3,길이 과다|L5 재진술,주주총회 등 외부 행사 내 인사 관련 자료 작성 문서 확정
V2-L6-0610,제도,시상,가이드 수립/배포 및 시스템 준비,가이드 수립/배포 및 시스템 준비 공지문 발송 발송,notification_doc,3,중복 토큰,가이드 수립/배포 및 시스템 준비 공지문 발송 발송
V2-L6-0730,제도,피어리뷰,결과 분석/보고 및 결과 안내,결과 분석/보고 및 결과 안내 공지문 발송 발송,notification_doc,3,중복 토큰,결과 분석/보고 및 결과 안내 공지문 발송 발송
V2-L6-0518,제도,그라운드룰&업무목표&피드백,승인자/부서장 매핑 확정/변경,승인자/부서장 매핑 확정/변경 승인 이력 완료,analysis_report,3,일반명사 과다|L5 재진술,승인자/부서장 매핑 확정/변경 승인 등록
V2-L6-0594,제도,시상,가이드 수립/배포 및 시스템 준비,가이드 수립/배포 및 시스템 준비 이력 등록,analysis_report,3,일반명사 과다|L5 재진술,가이드 수립/배포 및 시스템 준비 등록
V2-L6-0607,제도,시상,가이드 수립/배포 및 시스템 준비,가이드 수립/배포 및 시스템 준비 이력 확정,approval_doc,3,일반명사 과다|L5 재진술,가이드 수립/배포 및 시스템 준비 확정
V2-L6-0722,제도,피어리뷰,결과 분석/보고 및 결과 안내,결과 분석/보고 및 결과 안내 이력 등록,analysis_report,3,일반명사 과다|L5 재진술,결과 분석/보고 및 결과 안내 등록
V2-L6-0739,제도,피어리뷰,결과 분석/보고 및 결과 안내,결과 분석/보고 및 결과 안내 이력 확정,approval_doc,3,일반명사 과다|L5 재진술,결과 분석/보고 및 결과 안내 확정
V2-L6-0655,제도,시상,후속 조치,후속 조치 공지문 발송 발송,notification_doc,3,중복 토큰,후속 조치 공지문 발송 발송
V2-L6-0798,채용,전형 관리,전형 관리,전형 관리 접수 이력 등록,request_doc,3,일반명사 과다|L5 재진술,전형 관리 접수 등록
V2-L6-0234,기획,자료 작성,주주총회 등 외부 행사 내 인사 관련 자료 작성,주주총회 등 외부 행사 내 인사 관련 자료 작성 승인 결재 승인 완료,minutes_doc,2,길이 과다,주주총회 등 외부 행사 내 인사 관련 자료 작성 승인 결재 완료
V2-L6-0673,제도,업적평가,대상자 확정/변경 (예외자/사유 확인),대상자 확정/변경 (예외자/사유 확인) 공지문 발송 승인본 확정,approval_doc,2,길이 과다,대상자 확정/변경 (예외자/사유 확인) 공지문 발송 승인본 확정
V2-L6-0674,제도,업적평가,대상자 확정/변경 (예외자/사유 확인),대상자 확정/변경 (예외자/사유 확인) 시스템 반영 승인본 확정,approval_doc,2,길이 과다,대상자 확정/변경 (예외자/사유 확인) 시스템 반영 승인본 확정
V2-L6-0897,해외인사,M&A,(PMI) Best Practice 분석,(PMI) Best Practice 분석 처리 대상 분류 등록,analysis_report,2,길이 과다,(PMI) Best Practice 분석 처리 대상 분류 등록
V2-L6-0194,교육,플랫폼,이러닝 컨텐츠 소싱/관리 및 큐레이션,이러닝 컨텐츠 소싱/관리 및 큐레이션 운영 결과 리포트 확정,approval_doc,2,길이 과다,이러닝 컨텐츠 소싱/관리 및 큐레이션 운영 결과 리포트 확정
V2-L6-0208,기획,자료 작성,People팀 조직 및 인력 현황 작성,People팀 조직 및 인력 현황 작성 승인 결재 승인 완료,minutes_doc,2,길이 과다,People팀 조직 및 인력 현황 작성 승인 결재 완료
V2-L6-0660,제도,업적평가,대상자 확정/변경 (예외자/사유 확인),대상자 확정/변경 (예외자/사유 확인) 승인 결재 승인 완료,analysis_report,2,길이 과다,대상자 확정/변경 (예외자/사유 확인) 승인 결재 등록
V2-L6-0190,교육,플랫폼,이러닝 컨텐츠 소싱/관리 및 큐레이션,이러닝 컨텐츠 소싱/관리 및 큐레이션 승인 결재 승인 완료,approval_doc,2,길이 과다,이러닝 컨텐츠 소싱/관리 및 큐레이션 승인 결재 확정
