[AS-IS] L3,[AS-IS] L4,[AS-IS] L5,[AS-IS] L6,[TO-BE] L3,[TO-BE] L4,[TO-BE] L5,[TO-BE] L6,추천 주체,전략 사유
채용,채용계획,채용 계획 수립(경영계획),전체 채용규모 산정,채용,채용계획,채용 계획 수립(경영계획),전체 채용규모 산정 기초 자료 취합,Digital Worker,단순 데이터 수집
채용,채용계획,채용 계획 수립(경영계획),전체 채용규모 산정,채용,채용계획,채용 계획 수립(경영계획),전체 채용규모 산정 최종 결과 확정,HR,담당자 최종 검토 및 확정
채용,채용계획,채용 계획 수립(경영계획),팀별 채용규모 확인,채용,채용계획,채용 계획 수립(경영계획),팀별 채용규모 확인 기초 자료 취합,Digital Worker,단순 데이터 수집
채용,채용계획,채용 계획 수립(경영계획),팀별 채용규모 확인,채용,채용계획,채용 계획 수립(경영계획),팀별 채용규모 확인 최종 결과 확정,HR,담당자 최종 검토 및 확정
채용,채용계획,채용 계획 수립(경영계획),충원 필요성 검토,채용,채용계획,채용 계획 수립(경영계획),충원 필요성 검토 대상자/기준 취합,Digital Worker,시스템 및 메일 데이터 기초 수합
채용,채용계획,채용 계획 수립(경영계획),충원 필요성 검토,채용,채용계획,채용 계획 수립(경영계획),충원 필요성 검토 결과 확정,HR,정성적 판단 및 최종 의사결정
채용,채용계획,채용 계획 수립(경영계획),충원 필요성 검토,채용,채용계획,채용 계획 수립(경영계획),충원 필요성 검토 결과 통보 발송,Digital Worker,확정 결과의 시스템 일괄 발송
채용,채용계획,채용 계획 수립(경영계획),사업부 채용규모 확정,채용,채용계획,채용 계획 수립(경영계획),사업부 채용규모 확정 대상자/기준 취합,Digital Worker,시스템 및 메일 데이터 기초 수합
채용,채용계획,채용 계획 수립(경영계획),사업부 채용규모 확정,채용,채용계획,채용 계획 수립(경영계획),사업부 채용규모 확정 결과 확정,HR,정성적 판단 및 최종 의사결정
채용,채용계획,채용 계획 수립(경영계획),사업부 채용규모 확정,채용,채용계획,채용 계획 수립(경영계획),사업부 채용규모 확정 결과 통보 발송,Digital Worker,확정 결과의 시스템 일괄 발송
채용,채용계획,직무기술서 작성,직무기술서 작성 요청,채용,채용계획,직무기술서 작성,직무기술서 작성 요청 기초 데이터 추출,Digital Worker,Workday 등 시스템 리포트 확보
