Activity_ID,L3(도메인),L4,L5,L6 Name,Output Type,Cadence,Digital Trace,규칙 위반 여부(Y/N),구분,seq,sequence_no,pre_dependency
V2-L6-0001,총무,사내 서비스 운영,날인 및 증명서 관리,날인 및 증명서  기준서 확정,approval_doc,상시,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그,N,신규,1,1,
V2-L6-0002,총무,사내 서비스 운영,날인 및 증명서 관리,날인 및 증명서  결과표 등록,analysis_report,상시,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력,N,신규,2,2,V2-L6-0001
V2-L6-0003,총무,사내 서비스 운영,날인 및 증명서 관리,날인 및 증명서  결과 통보 발송 완료,notification_doc,상시,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력,N,신규,3,3,V2-L6-0002
V2-L6-0004,총무,사내 서비스 운영,사내 화물 운영,사내 화물  기준서 확정,approval_doc,상시,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그,N,신규,1,1,
V2-L6-0005,총무,사내 서비스 운영,사내 화물 운영,사내 화물  결과표 등록,analysis_report,상시,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력,N,신규,2,2,V2-L6-0004
V2-L6-0006,총무,사내 서비스 운영,사내 화물 운영,사내 화물  결과 통보 발송 완료,notification_doc,상시,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력,N,신규,3,3,V2-L6-0005
V2-L6-0007,총무,사내 서비스 운영,안내센터 운영,안내센터  기준서 확정,approval_doc,상시,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그,N,신규,1,1,
V2-L6-0008,총무,사내 서비스 운영,안내센터 운영,중간 안내센터  결과표 등록,analysis_report,상시,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력,N,신규,2,2,V2-L6-0007
V2-L6-0009,총무,사내 서비스 운영,안내센터 운영,중간 안내센터  결과표 등록,analysis_report,상시,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력,N,신규,3,3,V2-L6-0008
V2-L6-0010,총무,사내 서비스 운영,안내센터 운영,VIP 방문지원 결과보고서 발행,analysis_report,상시,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력,N,신규,4,4,V2-L6-0009
V2-L6-0011,총무,사내 서비스 운영,대외유관 기관/업체 운영,대외유관 기관/업체  기준서 확정,approval_doc,상시,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그,N,신규,1,1,
V2-L6-0012,총무,사내 서비스 운영,대외유관 기관/업체 운영,대외유관 기관/업체  결과표 등록,analysis_report,상시,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력,N,신규,2,2,V2-L6-0011
V2-L6-0013,총무,사내 서비스 운영,대외유관 기관/업체 운영,대외유관 기관/업체  결과 통보 발송 완료,notification_doc,상시,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력,N,신규,3,3,V2-L6-0012
V2-L6-0014,총무,사내 서비스 운영,사내 전화(S-Calling) 운영,사내 전화(S-Calling)  기준서 확정,approval_doc,상시,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그,N,신규,1,1,
V2-L6-0015,총무,사내 서비스 운영,사내 전화(S-Calling) 운영,중간 사내 전화(S-Calling)  결과표 등록,analysis_report,상시,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력,N,신규,2,2,V2-L6-0014
V2-L6-0016,총무,사내 서비스 운영,사내 전화(S-Calling) 운영,중간 사내 전화(S-Calling)  결과표 등록,analysis_report,상시,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력,N,신규,3,3,V2-L6-0015
V2-L6-0017,총무,사내 서비스 운영,사내 전화(S-Calling) 운영,월간 통화품질 리포트 발행,analysis_report,상시,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력,N,신규,4,4,V2-L6-0016
V2-L6-0018,총무,사내 서비스 운영,두발로 운영,두발로  기준서 확정,approval_doc,상시,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그,N,신규,1,1,
V2-L6-0019,총무,사내 서비스 운영,두발로 운영,중간 두발로  결과표 등록,analysis_report,상시,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력,N,신규,2,2,V2-L6-0018
V2-L6-0020,총무,사내 서비스 운영,두발로 운영,중간 두발로  결과표 등록,analysis_report,상시,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력,N,신규,3,3,V2-L6-0019
V2-L6-0021,총무,사내 서비스 운영,두발로 운영,두발로 이용통계 리포트 발행,analysis_report,상시,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력,N,신규,4,4,V2-L6-0020
V2-L6-0022,총무,사내 서비스 운영,다회용기 업체 운영,다회용기 업체  기준서 확정,approval_doc,상시,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그,N,신규,1,1,
V2-L6-0023,총무,사내 서비스 운영,다회용기 업체 운영,중간 다회용기 업체  결과표 등록,analysis_report,상시,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력,N,신규,2,2,V2-L6-0022
V2-L6-0024,총무,사내 서비스 운영,다회용기 업체 운영,중간 다회용기 업체  결과표 등록,analysis_report,상시,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력,N,신규,3,3,V2-L6-0023
V2-L6-0025,총무,사내 서비스 운영,다회용기 업체 운영,다회용기 정산내역서 발행,settlement_doc,상시,ERP 전표 번호 생성 로그 | 결재 완료 데이터 | 정산 반영 이력,N,신규,4,4,V2-L6-0024
V2-L6-0026,총무,사내 인프라 관리,사무실 레이아웃 관리,사무실 레이아웃  기준서 확정,approval_doc,상시,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그,N,신규,1,1,
V2-L6-0027,총무,사내 인프라 관리,사무실 레이아웃 관리,사무실 레이아웃  결과표 등록,analysis_report,상시,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력,N,신규,2,2,V2-L6-0026
V2-L6-0028,총무,사내 인프라 관리,사무실 레이아웃 관리,사무실 레이아웃  결과 통보 발송 완료,notification_doc,상시,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력,N,신규,3,3,V2-L6-0027
V2-L6-0029,총무,사내 인프라 관리,피트니스 관리,피트니스  기준서 확정,approval_doc,상시,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그,N,신규,1,1,
V2-L6-0030,총무,사내 인프라 관리,피트니스 관리,피트니스  결과표 등록,analysis_report,상시,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력,N,신규,2,2,V2-L6-0029
V2-L6-0031,총무,사내 인프라 관리,피트니스 관리,피트니스  결과 통보 발송 완료,notification_doc,상시,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력,N,신규,3,3,V2-L6-0030
V2-L6-0032,총무,사내 인프라 관리,사내식당 관리,사내식당  기준서 확정,approval_doc,상시,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그,N,신규,1,1,
V2-L6-0033,총무,사내 인프라 관리,사내식당 관리,사내식당  결과표 등록,analysis_report,상시,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력,N,신규,2,2,V2-L6-0032
V2-L6-0034,총무,사내 인프라 관리,사내식당 관리,사내식당  결과 통보 발송 완료,notification_doc,상시,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력,N,신규,3,3,V2-L6-0033
V2-L6-0035,총무,사내 인프라 관리,주차장 관리,주차장  기준서 확정,approval_doc,상시,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그,N,신규,1,1,
