Activity_ID,L3(도메인),Redesign_L4,Redesign_L5,Redesign_L6,Cadence,Output Type,pre_dependency,seq,Digital Trace
V2-L6-0001,총무,의사결정·승인 프로세스 그룹,날인 및 증명서 관리 [기준확정],날인 및 증명서  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0002,총무,실행·반영 프로세스 그룹,날인 및 증명서 관리 [실행등록],날인 및 증명서  결과표 등록,상시,analysis_report,V2-L6-0001,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0003,총무,통보·핸드오프 프로세스 그룹,날인 및 증명서 관리 [통보인계],날인 및 증명서  결과 통보 발송 완료,상시,notification_doc,V2-L6-0002,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0004,총무,의사결정·승인 프로세스 그룹,사내 화물 운영 [기준확정],사내 화물  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0005,총무,실행·반영 프로세스 그룹,사내 화물 운영 [실행등록],사내 화물  결과표 등록,상시,analysis_report,V2-L6-0004,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0006,총무,통보·핸드오프 프로세스 그룹,사내 화물 운영 [통보인계],사내 화물  결과 통보 발송 완료,상시,notification_doc,V2-L6-0005,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0007,총무,의사결정·승인 프로세스 그룹,안내센터 운영 [기준확정],안내센터  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0008,총무,실행·반영 프로세스 그룹,안내센터 운영 [실행등록],중간 안내센터  결과표 등록,상시,analysis_report,V2-L6-0007,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0009,총무,실행·반영 프로세스 그룹,안내센터 운영 [통보인계],중간 안내센터  결과표 등록,상시,analysis_report,V2-L6-0008,3,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0010,총무,통보·핸드오프 프로세스 그룹,안내센터 운영 [확장단계4],VIP 방문지원 결과보고서 발행,상시,analysis_report,V2-L6-0009,4,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0011,총무,의사결정·승인 프로세스 그룹,대외유관 기관/업체 운영 [기준확정],대외유관 기관/업체  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
