[AS-IS] L3,[AS-IS] L4,[AS-IS] L5,[AS-IS] L6,Activity_ID,[TO-BE] L3,[TO-BE] L4,[TO-BE] L5,[TO-BE] L6,Cadence,Output Type,Change_Logic
총무,사내 서비스 운영,날인 및 증명서 관리,(원본 L6 미기재),V2-L6-0001,총무,사내 서비스 운영,날인 및 증명서 관리,Pilot과정 운영 초안 문서 작성 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 서비스 운영,날인 및 증명서 관리,(원본 L6 미기재),V2-L6-0002,총무,사내 서비스 운영,날인 및 증명서 관리,Pilot과정 운영 검토 의견 수합 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 서비스 운영,날인 및 증명서 관리,(원본 L6 미기재),V2-L6-0003,총무,사내 서비스 운영,날인 및 증명서 관리,Pilot과정 운영 수정본 반영 완료,상시,notification_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 서비스 운영,사내 화물 운영,(원본 L6 미기재),V2-L6-0004,총무,사내 서비스 운영,사내 화물 운영,Pilot과정 운영 승인 결재 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 서비스 운영,사내 화물 운영,(원본 L6 미기재),V2-L6-0005,총무,사내 서비스 운영,사내 화물 운영,커리큘럼 확정 초안 문서 작성 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 서비스 운영,사내 화물 운영,(원본 L6 미기재),V2-L6-0006,총무,사내 서비스 운영,사내 화물 운영,커리큘럼 확정 검토 의견 수합 완료,상시,notification_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0007,총무,사내 서비스 운영,안내센터 운영,커리큘럼 확정 수정본 반영 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0008,총무,사내 서비스 운영,안내센터 운영,커리큘럼 확정 승인 결재 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0009,총무,사내 서비스 운영,안내센터 운영,평가 도구 설계(KPI) 초안 문서 작성 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0010,총무,사내 서비스 운영,안내센터 운영,평가 도구 설계(KPI) 검토 의견 수합 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 서비스 운영,대외유관 기관/업체 운영,(원본 L6 미기재),V2-L6-0011,총무,사내 서비스 운영,대외유관 기관/업체 운영,평가 도구 설계(KPI) 수정본 반영 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 서비스 운영,대외유관 기관/업체 운영,(원본 L6 미기재),V2-L6-0012,총무,사내 서비스 운영,대외유관 기관/업체 운영,평가 도구 설계(KPI) 승인 결재 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 서비스 운영,대외유관 기관/업체 운영,(원본 L6 미기재),V2-L6-0013,총무,사내 서비스 운영,대외유관 기관/업체 운영,프로그램 운영방안 결정 초안 문서 작성 완료,상시,notification_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0014,총무,사내 서비스 운영,사내 전화(S-Calling) 운영,프로그램 운영방안 결정 검토 의견 수합 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0015,총무,사내 서비스 운영,사내 전화(S-Calling) 운영,프로그램 운영방안 결정 수정본 반영 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0016,총무,사내 서비스 운영,사내 전화(S-Calling) 운영,프로그램 운영방안 결정 승인 결재 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0017,총무,사내 서비스 운영,사내 전화(S-Calling) 운영,교육대상 분석 초안 문서 작성 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0018,총무,사내 서비스 운영,두발로 운영,교육대상 분석 검토 의견 수합 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0019,총무,사내 서비스 운영,두발로 운영,교육대상 분석 수정본 반영 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0020,총무,사내 서비스 운영,두발로 운영,교육대상 분석 승인 결재 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0021,총무,사내 서비스 운영,두발로 운영,요구사항분석 초안 문서 작성 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0022,총무,사내 서비스 운영,다회용기 업체 운영,요구사항분석 검토 의견 수합 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0023,총무,사내 서비스 운영,다회용기 업체 운영,요구사항분석 수정본 반영 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0024,총무,사내 서비스 운영,다회용기 업체 운영,요구사항분석 승인 결재 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0025,총무,사내 서비스 운영,다회용기 업체 운영,커리큘럼 기획 초안 문서 작성 완료,상시,settlement_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 인프라 관리,사무실 레이아웃 관리,(원본 L6 미기재),V2-L6-0026,총무,사내 인프라 관리,사무실 레이아웃 관리,커리큘럼 기획 검토 의견 수합 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 인프라 관리,사무실 레이아웃 관리,(원본 L6 미기재),V2-L6-0027,총무,사내 인프라 관리,사무실 레이아웃 관리,커리큘럼 기획 수정본 반영 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 인프라 관리,사무실 레이아웃 관리,(원본 L6 미기재),V2-L6-0028,총무,사내 인프라 관리,사무실 레이아웃 관리,커리큘럼 기획 승인 결재 완료,상시,notification_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 인프라 관리,피트니스 관리,(원본 L6 미기재),V2-L6-0029,총무,사내 인프라 관리,피트니스 관리,커리큘럼 기획 공지문 발송 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 인프라 관리,피트니스 관리,(원본 L6 미기재),V2-L6-0030,총무,사내 인프라 관리,피트니스 관리,커리큘럼 기획 시스템 반영 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 인프라 관리,피트니스 관리,(원본 L6 미기재),V2-L6-0031,총무,사내 인프라 관리,피트니스 관리,커리큘럼 기획 시행 내역 등록 완료,상시,notification_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 인프라 관리,사내식당 관리,(원본 L6 미기재),V2-L6-0032,총무,사내 인프라 관리,사내식당 관리,커리큘럼 기획 운영 결과 리포트 발행,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 인프라 관리,사내식당 관리,(원본 L6 미기재),V2-L6-0033,총무,사내 인프라 관리,사내식당 관리,트렌드분석 초안 문서 작성 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 인프라 관리,사내식당 관리,(원본 L6 미기재),V2-L6-0034,총무,사내 인프라 관리,사내식당 관리,트렌드분석 검토 의견 수합 완료,상시,notification_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 인프라 관리,주차장 관리,(원본 L6 미기재),V2-L6-0035,총무,사내 인프라 관리,주차장 관리,트렌드분석 수정본 반영 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 인프라 관리,주차장 관리,(원본 L6 미기재),V2-L6-0036,총무,사내 인프라 관리,주차장 관리,트렌드분석 승인 결재 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 인프라 관리,주차장 관리,(원본 L6 미기재),V2-L6-0037,총무,사내 인프라 관리,주차장 관리,과정 개설 초안 문서 작성 완료,상시,notification_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 인프라 관리,"숙박시설 운영 (기숙사, 포레스트)",(원본 L6 미기재),V2-L6-0038,총무,사내 인프라 관리,"숙박시설 운영 (기숙사, 포레스트)",과정 개설 검토 의견 수합 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 인프라 관리,"숙박시설 운영 (기숙사, 포레스트)",(원본 L6 미기재),V2-L6-0039,총무,사내 인프라 관리,"숙박시설 운영 (기숙사, 포레스트)",과정 개설 수정본 반영 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 인프라 관리,"숙박시설 운영 (기숙사, 포레스트)",(원본 L6 미기재),V2-L6-0040,총무,사내 인프라 관리,"숙박시설 운영 (기숙사, 포레스트)",과정 개설 승인 결재 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
총무,사내 인프라 관리,"숙박시설 운영 (기숙사, 포레스트)",(원본 L6 미기재),V2-L6-0041,총무,사내 인프라 관리,"숙박시설 운영 (기숙사, 포레스트)",과정 운영 초안 문서 작성 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
