[AS-IS] L5,[AS-IS] L6,[TO-BE] L5,[TO-BE] L6,추천 주체,전략 사유
입사 및 온보딩,입사 전 O/T 진행,입사 전 O/T 운영,입사 대상자 명단 확정,HR,최종 합격자 중 입사 포기자 등을 반영한 최종 명단 확정 의사결정
입사 및 온보딩,입사 전 O/T 진행,입사 전 O/T 운영,O/T 일정 및 방식 확정,HR,대상자 규모에 따른 장소/온라인 여부 등 기획/의사결정
입사 및 온보딩,입사 전 O/T 진행,입사 전 O/T 운영,O/T 참석 안내 메일 발송,Digital Worker,명단과 일정 템플릿에 따른 대량/반복 메일 발송
입사 및 온보딩,입사 전 O/T 진행,입사 전 O/T 운영,O/T 출석 결과 취합,Digital Worker,시스템/Zoom 등을 통한 기계적인 출석 로그 다운로드 및 취합
입사 및 온보딩,입사절차 안내(입사자),입사 구비서류 안내 및 수합,입사 구비서류 목록 확정,HR,경력/신입/직군별 필요한 구비서류 기준 설정
입사 및 온보딩,입사절차 안내(입사자),입사 구비서류 안내 및 수합,입사 안내 패키지 발송,Digital Worker,표준화된 서류 양식 및 작성 가이드 일괄 메일/카톡 발송
입사 및 온보딩,입사절차 안내(입사자),입사 구비서류 안내 및 수합,입사 증빙서류 육안 대조 완료,SSC,"주민등록등본, 학위증명서 등 실물/이미지 서류의 육안 진위여부 패키지 대조"
입사 및 온보딩,입사 전 준비,IT기기 및 계정 지급,사번 및 그룹웨어 계정 생성,Digital Worker,HR 마스터 데이터 기반의 자동화된 IT 계정 프로비저닝
입사 및 온보딩,입사 전 준비,IT기기 및 계정 지급,지급용 IT기기 세팅 완료,SSC,"노트북 포맷, 보안프로그램 설치 등 물리적인 IT기기 세팅"
입사 및 온보딩,입사 전 준비,웰컴키트 지급,웰컴키트 실물 포장 및 택배 발송,SSC,단순 물류/포장 작업이므로 해당 L5 전체를 통으로 SSC 이관
