[AS-IS] L3,[AS-IS] L4,[AS-IS] L5,[AS-IS] L6,Activity_ID,[TO-BE] L3,[TO-BE] L4,[TO-BE] L5,[TO-BE] L6,Cadence,Output Type,Change_Logic
교육,교육과정설계,Pilot과정 운영,대상자 선발,V2-L6-0001,교육,교육과정설계,Pilot과정 운영,Pilot과정 운영 초안 문서 작성 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육과정설계,Pilot과정 운영,대상자 선발,V2-L6-0002,교육,교육과정설계,Pilot과정 운영,Pilot과정 운영 검토 의견 수합 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육과정설계,Pilot과정 운영,대상자 선발,V2-L6-0003,교육,교육과정설계,Pilot과정 운영,Pilot과정 운영 수정본 반영,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육과정설계,Pilot과정 운영,대상자 선발,V2-L6-0004,교육,교육과정설계,Pilot과정 운영,Pilot과정 운영 승인 결재 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육과정설계,커리큘럼 확정,내부 보고/품의,V2-L6-0005,교육,교육과정설계,커리큘럼 확정,커리큘럼 확정 초안 문서 작성 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육과정설계,커리큘럼 확정,내부 보고/품의,V2-L6-0006,교육,교육과정설계,커리큘럼 확정,커리큘럼 확정 검토 의견 수합 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육과정설계,커리큘럼 확정,내부 보고/품의,V2-L6-0007,교육,교육과정설계,커리큘럼 확정,커리큘럼 확정 수정본 반영,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육과정설계,커리큘럼 확정,내부 보고/품의,V2-L6-0008,교육,교육과정설계,커리큘럼 확정,커리큘럼 확정 승인 결재 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육과정설계,평가 도구 설계(KPI),역량평가 도구/방식 기획,V2-L6-0009,교육,교육과정설계,평가 도구 설계(KPI),평가 도구 설계(KPI) 초안 문서 작성 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육과정설계,평가 도구 설계(KPI),역량평가 도구/방식 기획,V2-L6-0010,교육,교육과정설계,평가 도구 설계(KPI),평가 도구 설계(KPI) 검토 의견 수합 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육과정설계,평가 도구 설계(KPI),역량평가 도구/방식 기획,V2-L6-0011,교육,교육과정설계,평가 도구 설계(KPI),평가 도구 설계(KPI) 수정본 반영,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육과정설계,평가 도구 설계(KPI),역량평가 도구/방식 기획,V2-L6-0012,교육,교육과정설계,평가 도구 설계(KPI),평가 도구 설계(KPI) 승인 결재 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육과정설계,프로그램 운영방안 결정,교육 형태/기간,V2-L6-0013,교육,교육과정설계,프로그램 운영방안 결정,프로그램 운영방안 결정 초안 문서 작성 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육과정설계,프로그램 운영방안 결정,교육 형태/기간,V2-L6-0014,교육,교육과정설계,프로그램 운영방안 결정,프로그램 운영방안 결정 검토 의견 수합 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육과정설계,프로그램 운영방안 결정,교육 형태/기간,V2-L6-0015,교육,교육과정설계,프로그램 운영방안 결정,프로그램 운영방안 결정 수정본 반영,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육과정설계,프로그램 운영방안 결정,교육 형태/기간,V2-L6-0016,교육,교육과정설계,프로그램 운영방안 결정,프로그램 운영방안 결정 승인 결재 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육니즈분석,교육대상 분석,임직원 현황 분석(규모/직무/사업부/보직),V2-L6-0017,교육,교육니즈분석,교육대상 분석,교육대상 분석 초안 문서 작성 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육니즈분석,교육대상 분석,임직원 현황 분석(규모/직무/사업부/보직),V2-L6-0018,교육,교육니즈분석,교육대상 분석,교육대상 분석 검토 의견 수합 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육니즈분석,교육대상 분석,임직원 현황 분석(규모/직무/사업부/보직),V2-L6-0019,교육,교육니즈분석,교육대상 분석,교육대상 분석 수정본 반영,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육니즈분석,교육대상 분석,임직원 현황 분석(규모/직무/사업부/보직),V2-L6-0020,교육,교육니즈분석,교육대상 분석,교육대상 분석 승인 결재 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육니즈분석,요구사항분석,경영진요구사항 분석,V2-L6-0021,교육,교육니즈분석,요구사항분석,요구사항분석 초안 문서 작성 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육니즈분석,요구사항분석,경영진요구사항 분석,V2-L6-0022,교육,교육니즈분석,요구사항분석,요구사항분석 검토 의견 수합 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육니즈분석,요구사항분석,경영진요구사항 분석,V2-L6-0023,교육,교육니즈분석,요구사항분석,요구사항분석 수정본 반영,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육니즈분석,요구사항분석,경영진요구사항 분석,V2-L6-0024,교육,교육니즈분석,요구사항분석,요구사항분석 승인 결재 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육니즈분석,커리큘럼 기획,전년도 결과 리뷰/분석,V2-L6-0025,교육,교육니즈분석,커리큘럼 기획,커리큘럼 기획 초안 문서 작성 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육니즈분석,커리큘럼 기획,전년도 결과 리뷰/분석,V2-L6-0026,교육,교육니즈분석,커리큘럼 기획,커리큘럼 기획 검토 의견 수합 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육니즈분석,커리큘럼 기획,전년도 결과 리뷰/분석,V2-L6-0027,교육,교육니즈분석,커리큘럼 기획,커리큘럼 기획 수정본 반영,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육니즈분석,커리큘럼 기획,전년도 결과 리뷰/분석,V2-L6-0028,교육,교육니즈분석,커리큘럼 기획,커리큘럼 기획 승인 결재 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육니즈분석,커리큘럼 기획,전년도 결과 리뷰/분석,V2-L6-0029,교육,교육니즈분석,커리큘럼 기획,커리큘럼 기획 공지문 발송,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육니즈분석,커리큘럼 기획,전년도 결과 리뷰/분석,V2-L6-0030,교육,교육니즈분석,커리큘럼 기획,커리큘럼 기획 시스템 반영,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육니즈분석,커리큘럼 기획,전년도 결과 리뷰/분석,V2-L6-0031,교육,교육니즈분석,커리큘럼 기획,커리큘럼 기획 시행 내역 등록,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육니즈분석,커리큘럼 기획,전년도 결과 리뷰/분석,V2-L6-0032,교육,교육니즈분석,커리큘럼 기획,커리큘럼 기획 운영 결과 리포트 발행,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육니즈분석,트렌드분석,환경변화 자료검색/리서치,V2-L6-0033,교육,교육니즈분석,트렌드분석,트렌드분석 초안 문서 작성 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육니즈분석,트렌드분석,환경변화 자료검색/리서치,V2-L6-0034,교육,교육니즈분석,트렌드분석,트렌드분석 검토 의견 수합 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육니즈분석,트렌드분석,환경변화 자료검색/리서치,V2-L6-0035,교육,교육니즈분석,트렌드분석,트렌드분석 수정본 반영,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육니즈분석,트렌드분석,환경변화 자료검색/리서치,V2-L6-0036,교육,교육니즈분석,트렌드분석,트렌드분석 승인 결재 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육운영,과정 개설,교육시스템 과정 등록 및 차수 개설,V2-L6-0037,교육,교육운영,과정 개설,과정 개설 초안 문서 작성 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육운영,과정 개설,교육시스템 과정 등록 및 차수 개설,V2-L6-0038,교육,교육운영,과정 개설,과정 개설 검토 의견 수합 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육운영,과정 개설,교육시스템 과정 등록 및 차수 개설,V2-L6-0039,교육,교육운영,과정 개설,과정 개설 수정본 반영,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육운영,과정 개설,교육시스템 과정 등록 및 차수 개설,V2-L6-0040,교육,교육운영,과정 개설,과정 개설 승인 결재 완료,상시,analysis_report,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
교육,교육운영,과정 운영,강의장 점검,V2-L6-0041,교육,교육운영,과정 운영,과정 운영 초안 문서 작성 완료,상시,approval_doc,Handoff 기반 실무 산출물 재정의 및 템플릿 전면 제거
