[AS-IS] L4,[AS-IS] L5,[AS-IS] L6,Activity_ID,[TO-BE] L4,[TO-BE] L5,[TO-BE] L6,Cadence,Output Type,Change_Logic,L3(도메인)
사내 서비스 운영,날인 및 증명서 관리,(원본 L6 미기재),V2-L6-0001,사내 서비스 운영,날인 및 증명서 관리,날인 및 증명서 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
사내 서비스 운영,날인 및 증명서 관리,(원본 L6 미기재),V2-L6-0002,사내 서비스 운영,날인 및 증명서 관리,날인 및 증명서 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,총무
사내 서비스 운영,날인 및 증명서 관리,(원본 L6 미기재),V2-L6-0003,사내 서비스 운영,날인 및 증명서 관리,날인 및 증명서 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,총무
사내 서비스 운영,사내 화물 운영,(원본 L6 미기재),V2-L6-0004,사내 서비스 운영,사내 화물 운영,사내 화물 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
사내 서비스 운영,사내 화물 운영,(원본 L6 미기재),V2-L6-0005,사내 서비스 운영,사내 화물 운영,사내 화물 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,총무
사내 서비스 운영,사내 화물 운영,(원본 L6 미기재),V2-L6-0006,사내 서비스 운영,사내 화물 운영,사내 화물 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,총무
(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0007,사내 서비스 운영,안내센터 운영,안내센터 기준서 확정,상시,approval_doc,L4를 비즈니스 맥락 중심으로 정리/복원; L5를 완결 사이클 단위로 정제; L6를 성과 상태형으로 매핑,총무
(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0008,사내 서비스 운영,안내센터 운영,중간 안내센터 결과표 등록,상시,analysis_report,L4를 비즈니스 맥락 중심으로 정리/복원; L5를 완결 사이클 단위로 정제; L6를 성과 상태형으로 매핑,총무
(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0009,사내 서비스 운영,안내센터 운영,중간 안내센터 결과표 등록,상시,analysis_report,L4를 비즈니스 맥락 중심으로 정리/복원; L5를 완결 사이클 단위로 정제; L6를 성과 상태형으로 매핑,총무
(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0010,사내 서비스 운영,안내센터 운영,VIP 방문지원 결과보고서 발행,상시,analysis_report,L4를 비즈니스 맥락 중심으로 정리/복원; L5를 완결 사이클 단위로 정제; L6를 성과 상태형으로 매핑,총무
사내 서비스 운영,대외유관 기관/업체 운영,(원본 L6 미기재),V2-L6-0011,사내 서비스 운영,대외유관 기관/업체 운영,대외유관 기관/업체 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
사내 서비스 운영,대외유관 기관/업체 운영,(원본 L6 미기재),V2-L6-0012,사내 서비스 운영,대외유관 기관/업체 운영,대외유관 기관/업체 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,총무
사내 서비스 운영,대외유관 기관/업체 운영,(원본 L6 미기재),V2-L6-0013,사내 서비스 운영,대외유관 기관/업체 운영,대외유관 기관/업체 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,총무
