Activity_ID,L3(도메인),L4,L5,L6 Name,Cadence,Output Type,Digital Trace,seq,pre_dependency
V2-L6-0001,교육,교육과정설계,Pilot과정 운영,Pilot과정 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0002,교육,교육과정설계,Pilot과정 운영,Pilot과정 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0001
V2-L6-0003,교육,교육과정설계,Pilot과정 운영,1차 Pilot과정 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0002
V2-L6-0004,교육,교육과정설계,Pilot과정 운영,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0003
V2-L6-0005,교육,교육과정설계,커리큘럼 확정,커리큘럼 확정 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0006,교육,교육과정설계,커리큘럼 확정,커리큘럼 확정 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0005
V2-L6-0007,교육,교육과정설계,커리큘럼 확정,1차 커리큘럼 확정 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0006
V2-L6-0008,교육,교육과정설계,커리큘럼 확정,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0007
V2-L6-0009,교육,교육과정설계,평가 도구 설계(KPI),평가 도구 설계(KPI) 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0010,교육,교육과정설계,평가 도구 설계(KPI),평가 도구 설계(KPI) 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0009
V2-L6-0011,교육,교육과정설계,평가 도구 설계(KPI),1차 평가 도구 설계(KPI) 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0010
V2-L6-0012,교육,교육과정설계,평가 도구 설계(KPI),성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0011
V2-L6-0013,교육,교육과정설계,프로그램 운영방안 결정,프로그램 운영방안 결정 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0014,교육,교육과정설계,프로그램 운영방안 결정,프로그램 운영방안 결정 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0013
V2-L6-0015,교육,교육과정설계,프로그램 운영방안 결정,1차 프로그램 운영방안 결정 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0014
V2-L6-0016,교육,교육과정설계,프로그램 운영방안 결정,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0015
V2-L6-0017,교육,교육니즈분석,교육대상 분석,교육대상 분석 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0018,교육,교육니즈분석,교육대상 분석,교육대상 분석 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0017
V2-L6-0019,교육,교육니즈분석,교육대상 분석,1차 교육대상 분석 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0018
V2-L6-0020,교육,교육니즈분석,교육대상 분석,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0019
V2-L6-0021,교육,교육니즈분석,요구사항분석,요구사항분석 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0022,교육,교육니즈분석,요구사항분석,요구사항분석 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0021
V2-L6-0023,교육,교육니즈분석,요구사항분석,1차 요구사항분석 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0022
V2-L6-0024,교육,교육니즈분석,요구사항분석,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0023
V2-L6-0025,교육,교육니즈분석,커리큘럼 기획,커리큘럼 기획 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0026,교육,교육니즈분석,커리큘럼 기획,커리큘럼 기획 기준서 확정 1차,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0025
V2-L6-0027,교육,교육니즈분석,커리큘럼 기획,커리큘럼 기획 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0026
V2-L6-0028,교육,교육니즈분석,커리큘럼 기획,1차 커리큘럼 기획 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0027
V2-L6-0029,교육,교육니즈분석,커리큘럼 기획,2차 커리큘럼 기획 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,5,V2-L6-0028
V2-L6-0030,교육,교육니즈분석,커리큘럼 기획,4차 커리큘럼 기획 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,6,V2-L6-0029
V2-L6-0031,교육,교육니즈분석,커리큘럼 기획,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,7,V2-L6-0030
V2-L6-0032,교육,교육니즈분석,커리큘럼 기획,성과 리포트 발행 1차,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,8,V2-L6-0031
V2-L6-0033,교육,교육니즈분석,트렌드분석,트렌드분석 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
