L3(도메인),L4,L5,L6 Name,Output Type,Cadence,Digital Trace,규칙 위반 여부(Y/N),구분,seq,sequence_no,pre_dependency
총무,사내 서비스 운영,날인 및 증명서 관리,날인 및 증명서  기준서 확정,approval_doc,상시,그룹웨어 결재/문서 이력: 날인 및 증명서 관리 기준서 확정 | 업무 시스템 처리 기록: 날인 및 증명서 관리 | 자동 안내 메일 발송 이력: 날인 및 증명서 관리 기준서 확정,N,신규,1,1,
총무,사내 서비스 운영,날인 및 증명서 관리,날인 및 증명서  결과표 등록,analysis_report,상시,그룹웨어 결재/문서 이력: 날인 및 증명서 관리 결과표 등록 | 업무 시스템 처리 기록: 날인 및 증명서 관리 | 자동 안내 메일 발송 이력: 날인 및 증명서 관리 결과표 등록,N,신규,2,2,V2-L6-0401
총무,사내 서비스 운영,날인 및 증명서 관리,날인 및 증명서  결과 통보 발송 완료,notification_doc,상시,그룹웨어 결재/문서 이력: 날인 및 증명서 관리 결과 통보 발송 | 업무 시스템 처리 기록: 날인 및 증명서 관리 | 자동 안내 메일 발송 이력: 날인 및 증명서 관리 결과 통보 발송,N,신규,3,3,V2-L6-0402
총무,사내 서비스 운영,사내 화물 운영,사내 화물  기준서 확정,approval_doc,상시,그룹웨어 결재/문서 이력: 사내 화물 운영 기준서 확정 | 업무 시스템 처리 기록: 사내 화물 운영 | 자동 안내 메일 발송 이력: 사내 화물 운영 기준서 확정,N,신규,1,1,
총무,사내 서비스 운영,사내 화물 운영,사내 화물  결과표 등록,analysis_report,상시,그룹웨어 결재/문서 이력: 사내 화물 운영 결과표 등록 | 업무 시스템 처리 기록: 사내 화물 운영 | 자동 안내 메일 발송 이력: 사내 화물 운영 결과표 등록,N,신규,2,2,V2-L6-0404
총무,사내 서비스 운영,사내 화물 운영,사내 화물  결과 통보 발송 완료,notification_doc,상시,그룹웨어 결재/문서 이력: 사내 화물 운영 결과 통보 발송 | 업무 시스템 처리 기록: 사내 화물 운영 | 자동 안내 메일 발송 이력: 사내 화물 운영 결과 통보 발송,N,신규,3,3,V2-L6-0405
총무,사내 서비스 운영,안내센터 운영,안내센터  기준서 확정,approval_doc,상시,그룹웨어 결재/문서 이력: 안내센터 운영 기준서 확정 | 업무 시스템 처리 기록: 안내센터 운영 | 자동 안내 메일 발송 이력: 안내센터 운영 기준서 확정,N,신규,1,1,
총무,사내 서비스 운영,안내센터 운영,안내센터  결과표 등록,analysis_report,상시,그룹웨어 결재/문서 이력: 안내센터 운영 결과표 등록 | 업무 시스템 처리 기록: 안내센터 운영 | 자동 안내 메일 발송 이력: 안내센터 운영 결과표 등록,N,신규,2,2,V2-L6-1921
총무,사내 서비스 운영,안내센터 운영,안내센터  결과표 등록,analysis_report,상시,그룹웨어 결재/문서 이력: 안내센터 운영 결과표 등록 | 업무 시스템 처리 기록: 안내센터 운영 | 자동 안내 메일 발송 이력: 안내센터 운영 결과표 등록,N,신규,3,3,V2-L6-0407
총무,사내 서비스 운영,안내센터 운영,VIP 방문지원 결과보고서 발행,analysis_report,상시,그룹웨어 결재/문서 이력: VIP 방문지원 결과보고서 발행 | 업무 시스템 처리 기록: 안내센터 운영 | 자동 안내 메일 발송 이력: VIP 방문지원 결과보고서 발행,N,신규,4,4,V2-L6-0408
총무,사내 서비스 운영,대외유관 기관/업체 운영,대외유관 기관/업체  기준서 확정,approval_doc,상시,그룹웨어 결재/문서 이력: 대외유관 기관/업체 운영 기준서 확정 | 업무 시스템 처리 기록: 대외유관 기관/업체 운영 | 자동 안내 메일 발송 이력: 대외유관 기관/업체 운영 기준서 확정,N,신규,1,1,
총무,사내 서비스 운영,대외유관 기관/업체 운영,대외유관 기관/업체  결과표 등록,analysis_report,상시,그룹웨어 결재/문서 이력: 대외유관 기관/업체 운영 결과표 등록 | 업무 시스템 처리 기록: 대외유관 기관/업체 운영 | 자동 안내 메일 발송 이력: 대외유관 기관/업체 운영 결과표 등록,N,신규,2,2,V2-L6-0410
총무,사내 서비스 운영,대외유관 기관/업체 운영,대외유관 기관/업체  결과 통보 발송 완료,notification_doc,상시,그룹웨어 결재/문서 이력: 대외유관 기관/업체 운영 결과 통보 발송 | 업무 시스템 처리 기록: 대외유관 기관/업체 운영 | 자동 안내 메일 발송 이력: 대외유관 기관/업체 운영 결과 통보 발송,N,신규,3,3,V2-L6-0411
총무,사내 서비스 운영,사내 전화(S-Calling) 운영,사내 전화(S-Calling)  기준서 확정,approval_doc,상시,그룹웨어 결재/문서 이력: 사내 전화(S-Calling) 운영 기준서 확정 | 업무 시스템 처리 기록: 사내 전화(S-Calling) 운영 | 자동 안내 메일 발송 이력: 사내 전화(S-Calling) 운영 기준서 확정,N,신규,1,1,
총무,사내 서비스 운영,사내 전화(S-Calling) 운영,사내 전화(S-Calling)  결과표 등록,analysis_report,상시,그룹웨어 결재/문서 이력: 사내 전화(S-Calling) 운영 결과표 등록 | 업무 시스템 처리 기록: 사내 전화(S-Calling) 운영 | 자동 안내 메일 발송 이력: 사내 전화(S-Calling) 운영 결과표 등록,N,신규,2,2,V2-L6-1922
