[AS-IS] L3,[AS-IS] L4,[AS-IS] L5,[AS-IS] L6,[TO-BE] L3,[TO-BE] L4,[TO-BE] L5,[TO-BE] L6,주체,전략 사유,분해유형,L5_유형,L6_순번
채용,채용계획,채용 계획 수립(경영계획),전체 채용규모 산정,채용,채용계획,채용 계획 수립,부서별 채용 수요조사 취합,DW,수요조사 양식 자동 집계,통폐합,T01,1
채용,채용계획,채용 계획 수립(경영계획),팀별 채용규모 확인,채용,채용계획,채용 계획 수립,부서별 채용 수요조사 취합,DW,수요조사 양식 자동 집계,통폐합,T01,1
채용,채용계획,채용 계획 수립(경영계획),충원 필요성 검토,채용,채용계획,채용 계획 수립,부서별 채용 수요조사 취합,DW,수요조사 양식 자동 집계,통폐합,T01,1
채용,채용계획,채용 계획 수립(경영계획),사업부 채용규모 확정,채용,채용계획,채용 계획 수립,전사 채용규모 확정,HR,전사 채용규모 최종 책임 HR,1:1,T01,2
채용,채용계획,직무기술서 작성,직무기술서 작성 요청,채용,채용계획,직무기술서 작성,직무기술서 작성 요청 발송,DW,현업 대상 양식 자동 발송,1:1,T01,1
채용,인재발굴,인재 소싱 채널 선정 및 액팅,발굴 기준 확정,채용,인재발굴,인재 소싱 채널 선정 및 액팅,인재 발굴 기준안 확정,HR,발굴 기준·채널 선정 HR 판단 영역,통폐합,T07,1
채용,인재발굴,인재 소싱 채널 선정 및 액팅,소싱 채널 선정,채용,인재발굴,인재 소싱 채널 선정 및 액팅,인재 발굴 기준안 확정,HR,발굴 기준·채널 선정 HR 판단 영역,통폐합,T07,1
채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 발굴,채용,인재발굴,인재 소싱 채널 선정 및 액팅,채널별 후보자 명단 취합,DW,채널별 자동 수집·집계,1:1,T07,2
채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 풀 구축,채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 풀 등록,DW,시스템 후보자 DB 입력,1:1,T07,3
채용,선발전형,서류심사,HR 서류 검토 진행,채용,선발전형,서류심사,지원자 서류 명단 추출,DW,시스템 지원자 리스트 자동 추출,1:2,T02,1
채용,선발전형,서류심사,HR 서류 검토 진행,채용,선발전형,서류심사,서류 합격자 명단 확정,HR,HR·현업 종합 판단으로 합격자 확정,1:2,T02,2
채용,선발전형,서류심사,진행의사 확인,채용,선발전형,서류심사,서류 합격자 명단 확정,HR,현업 진행의사 포함 HR 최종 확정,통폐합,T02,2
채용,선발전형,서류심사,현업 서류 검토 진행,채용,선발전형,서류심사,서류 합격자 명단 확정,HR,현업 검토 결과 HR 최종 확정,통폐합,T02,2
채용,선발전형,서류심사,서류 검토 결과안내,채용,선발전형,서류심사,서류 전형 결과 안내문 발송,DW,합불 결과 자동 발송,1:1,T02,3
채용,선발전형,자격 검증(GSAT 코딩 테스트 등),검정 대상자 선정,채용,선발전형,자격 검증(GSAT 코딩 테스트 등),검정 대상자 명단 추출,DW,전형 통과자 시스템 자동 추출,1:2,T02,1
채용,선발전형,자격 검증(GSAT 코딩 테스트 등),검정 대상자 선정,채용,선발전형,자격 검증(GSAT 코딩 테스트 등),검정 대상자 명단 확정,HR,예외자·특이사항 HR 최종 확정,1:2,T02,2
채용,선발전형,자격 검증(GSAT 코딩 테스트 등),검정 일정/장소 확정,채용,선발전형,자격 검증(GSAT 코딩 테스트 등),검정 일정·장소 확정,HR,운영 일정·장소 HR 책임 확정,1:1,T02,3
채용,선발전형,자격 검증(GSAT 코딩 테스트 등),검정 운영 위원 선발/교육,채용,선발전형,자격 검증(GSAT 코딩 테스트 등),검정 운영위원 명단 확정,HR,위원 선발·교육 HR 판단,1:1,T02,4
채용,선발전형,자격 검증(GSAT 코딩 테스트 등),검정 준비,채용,선발전형,자격 검증(GSAT 코딩 테스트 등),검정 장소 세팅 실시,SSC,물리적 장소 준비 — 교육·면접 장소세팅과 횡단 묶음 예정,1:1,T02,5
채용,선발전형,자격 검증(GSAT 코딩 테스트 등),검정 운영,채용,선발전형,자격 검증(GSAT 코딩 테스트 등),검정 결과표 취합,DW,검정 채점 결과 자동 취합,통폐합,T02,6
채용,선발전형,자격 검증(GSAT 코딩 테스트 등),검정 후속처리,채용,선발전형,자격 검증(GSAT 코딩 테스트 등),검정 결과표 취합,DW,검정 채점 결과 자동 취합,통폐합,T02,6
채용,선발전형,자격 검증(GSAT 코딩 테스트 등),검정 후속처리,채용,선발전형,자격 검증(GSAT 코딩 테스트 등),검정 합격자 명단 확정,HR,최종 합격 기준 HR 판단 적용,1:2,T02,7
채용,선발전형,면접,면접위원 선발/교육,채용,선발전형,면접,면접위원 명단 확정,HR,위원 선발·교육 결과 HR 확정,1:1,T02,1
