[Origin] L5 Name,[Origin] L6 Name,Activity_ID,[Current] L5 Name,[Current] L6 Name,Cadence,Output Type,Change_Logic,L3(도메인)
Pilot과정 운영,대상자 선발,V2-L6-0885,Pilot과정 운영,Pilot과정  기준서 확정,상시,approval_doc,단일 프로세스를 4단계 성과활동으로 분해,교육
Pilot과정 운영,대상자 선발,V2-L6-0886,Pilot과정 운영,중간 Pilot과정  결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
Pilot과정 운영,과정 운영,V2-L6-0887,Pilot과정 운영,중간 Pilot과정  결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
Pilot과정 운영,결과 분석/반영,V2-L6-0888,Pilot과정 운영,성과 리포트 발행,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
커리큘럼 기획,과정목표 수립,V2-L6-0869,커리큘럼 기획,커리큘럼 기획 기준서 확정,상시,approval_doc,단일 프로세스를 4단계 성과활동으로 분해,교육
커리큘럼 기획,과정목표 수립,V2-L6-0870,커리큘럼 기획,중간 커리큘럼 기획 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
커리큘럼 기획,예산 검토,V2-L6-0871,커리큘럼 기획,중간 커리큘럼 기획 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
커리큘럼 기획,커리큘럼 개발,V2-L6-0872,커리큘럼 기획,성과 리포트 발행,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
커리큘럼 확정,내부 보고/품의,V2-L6-0873,커리큘럼 확정,커리큘럼 확정 기준서 확정,상시,approval_doc,단일 프로세스를 4단계 성과활동으로 분해,교육
커리큘럼 확정,내부 보고/품의,V2-L6-0874,커리큘럼 확정,중간 커리큘럼 확정 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
커리큘럼 확정,내부 보고/품의,V2-L6-0875,커리큘럼 확정,중간 커리큘럼 확정 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
커리큘럼 확정,내부 보고/품의,V2-L6-0876,커리큘럼 확정,성과 리포트 발행,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
평가 도구 설계(KPI),역량평가 도구/방식 기획,V2-L6-0881,평가 도구 설계(KPI),평가 도구 설계(KPI) 기준서 확정,상시,approval_doc,단일 프로세스를 4단계 성과활동으로 분해,교육
평가 도구 설계(KPI),역량평가 도구/방식 기획,V2-L6-0882,평가 도구 설계(KPI),중간 평가 도구 설계(KPI) 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
평가 도구 설계(KPI),"프로그램 평가 기획(효과성, 만족도)",V2-L6-0883,평가 도구 설계(KPI),중간 평가 도구 설계(KPI) 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
평가 도구 설계(KPI),"프로그램 평가 기획(효과성, 만족도)",V2-L6-0884,평가 도구 설계(KPI),성과 리포트 발행,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
