Activity_ID,L3(도메인),Restored_L4,Restored_L5,Restored_L6,Cadence,Output Type,seq,pre_dependency,Digital Trace
V2-L6-0001,총무,사내 서비스 운영,날인 및 증명서 관리,날인 및 증명서 기준서 확정,상시,approval_doc,1,,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0002,총무,사내 서비스 운영,날인 및 증명서 관리,날인 및 증명서 결과표 등록,상시,analysis_report,2,V2-L6-0001,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0003,총무,사내 서비스 운영,날인 및 증명서 관리,날인 및 증명서 결과 통보 발송 완료,상시,notification_doc,3,V2-L6-0002,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0004,총무,사내 서비스 운영,사내 화물 운영,사내 화물 기준서 확정,상시,approval_doc,1,,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0005,총무,사내 서비스 운영,사내 화물 운영,사내 화물 결과표 등록,상시,analysis_report,2,V2-L6-0004,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0006,총무,사내 서비스 운영,사내 화물 운영,사내 화물 결과 통보 발송 완료,상시,notification_doc,3,V2-L6-0005,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0007,총무,사내 서비스 운영,안내센터 운영,안내센터 기준서 확정,상시,approval_doc,1,,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0008,총무,사내 서비스 운영,안내센터 운영,중간 안내센터 결과표 등록,상시,analysis_report,2,V2-L6-0007,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0009,총무,사내 서비스 운영,안내센터 운영,중간 안내센터 결과표 등록,상시,analysis_report,3,V2-L6-0008,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0010,총무,사내 서비스 운영,안내센터 운영,VIP 방문지원 결과보고서 발행,상시,analysis_report,4,V2-L6-0009,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0011,총무,사내 서비스 운영,대외유관 기관/업체 운영,대외유관 기관/업체 기준서 확정,상시,approval_doc,1,,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0012,총무,사내 서비스 운영,대외유관 기관/업체 운영,대외유관 기관/업체 결과표 등록,상시,analysis_report,2,V2-L6-0011,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0013,총무,사내 서비스 운영,대외유관 기관/업체 운영,대외유관 기관/업체 결과 통보 발송 완료,상시,notification_doc,3,V2-L6-0012,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0014,총무,사내 서비스 운영,사내 전화(S-Calling) 운영,사내 전화(S-Calling) 기준서 확정,상시,approval_doc,1,,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0015,총무,사내 서비스 운영,사내 전화(S-Calling) 운영,중간 사내 전화(S-Calling) 결과표 등록,상시,analysis_report,2,V2-L6-0014,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0016,총무,사내 서비스 운영,사내 전화(S-Calling) 운영,중간 사내 전화(S-Calling) 결과표 등록,상시,analysis_report,3,V2-L6-0015,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
